,day,cumulative_infected,type,type_pretty
0,1.0,1.9601178917520005e-16,Total infected,0%
1,2.0,0.00029000000000012046,Total infected,0%
2,3.0,0.0009258620689655768,Total infected,0%
3,4.0,0.001955862068965565,Total infected,0%
4,5.0,0.0036906896551721306,Total infected,0%
5,6.0,0.006585862068965494,Total infected,0%
6,7.0,0.008555172413793085,Total infected,0%
7,8.0,0.01046896551724158,Total infected,0%
8,9.0,0.014594827586206952,Total infected,0%
9,10.0,0.021152758620689837,Total infected,0%
10,11.0,0.029521379310344778,Total infected,0%
11,12.0,0.0406741379310345,Total infected,0%
12,13.0,0.05389379310344836,Total infected,0%
13,14.0,0.06369275862068956,Total infected,0%
14,15.0,0.07071344827586197,Total infected,0%
15,16.0,0.08325620689655168,Total infected,0%
16,17.0,0.09906655172413782,Total infected,0%
17,18.0,0.1183472413793103,Total infected,0%
18,19.0,0.14093724137931038,Total infected,0%
19,20.0,0.16671310344827597,Total infected,0%
20,21.0,0.18548137931034486,Total infected,0%
21,22.0,0.1988527586206898,Total infected,0%
22,23.0,0.2195910344827586,Total infected,0%
23,24.0,0.2441227586206897,Total infected,0%
24,25.0,0.2716606896551723,Total infected,0%
25,26.0,0.3011882758620689,Total infected,0%
26,27.0,0.3316224137931035,Total infected,0%
27,28.0,0.35350000000000004,Total infected,0%
28,29.0,0.3699124137931034,Total infected,0%
29,30.0,0.39191517241379303,Total infected,0%
30,31.0,0.4174968965517242,Total infected,0%
31,32.0,0.4443368965517241,Total infected,0%
32,33.0,0.4722127586206896,Total infected,0%
33,34.0,0.49956448275862053,Total infected,0%
34,35.0,0.5189410344827585,Total infected,0%
35,36.0,0.5332462068965517,Total infected,0%
36,37.0,0.5507772413793103,Total infected,0%
37,38.0,0.5693586206896551,Total infected,0%
38,39.0,0.5874503448275862,Total infected,0%
39,40.0,0.6056803448275863,Total infected,0%
40,41.0,0.6223613793103449,Total infected,0%
41,42.0,0.6350972413793103,Total infected,0%
42,43.0,0.6442472413793103,Total infected,0%
43,44.0,0.6554489655172413,Total infected,0%
44,45.0,0.6669824137931035,Total infected,0%
45,46.0,0.6783010344827586,Total infected,0%
46,47.0,0.6888120689655172,Total infected,0%
47,48.0,0.6992606896551725,Total infected,0%
48,49.0,0.7072348275862069,Total infected,0%
49,50.0,0.7129296551724138,Total infected,0%
50,51.0,0.7195079310344829,Total infected,0%
51,52.0,0.7262596551724138,Total infected,0%
52,53.0,0.7329413793103449,Total infected,0%
53,54.0,0.7398865517241379,Total infected,0%
54,55.0,0.7461475862068967,Total infected,0%
55,56.0,0.7507289655172413,Total infected,0%
56,57.0,0.7540182758620689,Total infected,0%
57,58.0,0.7579155172413793,Total infected,0%
58,59.0,0.7620896551724138,Total infected,0%
59,60.0,0.7663051724137931,Total infected,0%
60,1.0,0.0,Total infected,10%
61,2.0,0.0002279310344827787,Total infected,10%
62,3.0,0.0006910344827586273,Total infected,10%
63,4.0,0.0014786206896550585,Total infected,10%
64,5.0,0.002895862068965604,Total infected,10%
65,6.0,0.004906206896551708,Total infected,10%
66,7.0,0.006737586206896861,Total infected,10%
67,8.0,0.008403103448275794,Total infected,10%
68,9.0,0.011837586206896613,Total infected,10%
69,10.0,0.016978620689655076,Total infected,10%
70,11.0,0.023930689655172494,Total infected,10%
71,12.0,0.032714137931034476,Total infected,10%
72,13.0,0.04359793103448271,Total infected,10%
73,14.0,0.05135862068965539,Total infected,10%
74,15.0,0.05712827586206921,Total infected,10%
75,16.0,0.06668517241379317,Total infected,10%
