,trace,day,type
0,0,23,School screening
1,1,9,School screening
2,2,16,School screening
3,3,23,School screening
4,4,23,School screening
5,5,16,School screening
6,6,9,School screening
7,7,9,School screening
8,8,0,-
9,9,30,School screening
10,10,30,School screening
11,11,23,School screening
12,12,23,School screening
13,13,2,School screening
14,14,0,-
15,15,9,School screening
16,16,30,School screening
17,17,0,-
18,18,16,School screening
19,19,23,School screening
20,20,9,School screening
21,21,2,School screening
22,22,16,School screening
23,23,16,School screening
24,24,9,School screening
25,25,16,School screening
26,26,23,School screening
27,27,0,-
28,28,0,-
29,29,16,School screening
30,30,0,-
31,31,0,-
32,32,9,School screening
33,33,0,-
34,34,0,-
35,35,2,School screening
36,36,30,School screening
37,37,16,School screening
38,38,23,School screening
39,39,0,-
40,40,16,School screening
41,41,9,School screening
42,42,23,School screening
43,43,23,School screening
44,44,0,-
45,45,2,School screening
46,46,0,-
47,47,9,School screening
48,48,16,School screening
49,49,30,School screening
50,50,23,School screening
51,51,9,School screening
52,52,16,School screening
53,53,0,-
54,54,23,School screening
55,55,0,-
56,56,9,School screening
57,57,0,-
58,58,9,School screening
59,59,9,School screening
60,60,23,School screening
61,61,9,School screening
62,62,0,-
63,63,9,School screening
64,64,23,School screening
65,65,0,-
66,66,30,School screening
67,67,16,School screening
68,68,0,-
69,69,9,School screening
70,70,23,School screening
71,71,16,School screening
72,72,0,-
73,73,23,School screening
74,74,16,School screening
75,75,30,School screening
76,76,2,School screening
77,77,0,-
78,78,2,School screening
79,79,16,School screening
80,80,9,School screening
81,81,0,-
82,82,0,-
83,83,0,-
84,84,9,School screening
85,85,23,School screening
86,86,0,-
87,87,0,-
88,88,16,School screening
89,89,0,-
90,90,23,School screening
91,91,2,School screening
92,92,9,School screening
93,93,23,School screening
94,94,9,School screening
95,95,9,School screening
96,96,30,School screening
97,97,16,School screening
98,98,30,School screening
99,99,0,-
100,100,16,School screening
101,101,0,-
102,102,23,School screening
103,103,30,School screening
104,104,0,-
105,105,16,School screening
106,106,16,School screening
107,107,9,School screening
108,108,2,School screening
109,109,0,-
110,110,16,School screening
111,111,0,-
112,112,0,-
113,113,0,-
114,114,16,School screening
115,115,23,School screening
116,116,0,-
117,117,16,School screening
118,118,30,School screening
119,119,16,School screening
120,120,23,School screening
121,121,23,School screening
122,122,23,School screening
123,123,16,School screening
124,124,9,School screening
125,125,9,School screening
126,126,23,School screening
127,127,9,School screening
128,128,16,School screening
129,129,9,School screening
130,130,30,School screening
131,131,30,School screening
132,132,16,School screening
133,133,9,School screening
134,134,23,School screening
135,135,0,-
136,136,0,-
137,137,9,School screening
138,138,30,School screening
139,139,16,School screening
140,140,0,-
141,141,0,-
142,142,16,School screening
143,143,30,School screening
144,144,2,School screening
145,145,0,-
146,146,16,School screening
147,147,16,School screening
148,148,16,School screening
149,149,0,-
150,150,16,School screening
151,151,16,School screening
152,152,9,School screening
153,153,23,School screening
154,154,23,School screening
155,155,23,School screening
156,156,23,School screening
157,157,9,School screening
158,158,16,School screening
159,159,0,-
160,160,2,School screening
161,161,30,School screening
162,162,16,School screening
163,163,23,School screening
164,164,0,-
165,165,30,School screening
166,166,16,School screening
167,167,9,School screening
168,168,2,School screening
169,169,9,School screening
170,170,16,School screening
171,171,23,School screening
172,172,0,-
173,173,30,School screening
174,174,0,-
175,175,9,School screening
176,176,16,School screening
177,177,9,School screening
178,178,16,School screening
179,179,9,School screening
180,180,9,School screening
181,181,23,School screening
182,182,0,-
183,183,30,School screening
184,184,0,-
185,185,30,School screening
186,186,16,School screening
187,187,16,School screening
188,188,9,School screening
189,189,16,School screening
190,190,30,School screening
191,191,0,-
192,192,23,School screening
193,193,0,-
194,194,0,-
195,195,0,-
196,196,23,School screening
197,197,2,School screening
198,198,23,School screening
199,199,9,School screening
200,200,9,School screening
201,201,9,School screening
202,202,23,School screening
203,203,0,-
204,204,9,School screening
205,205,9,School screening
206,206,23,School screening
207,207,30,School screening
208,208,23,School screening
209,209,23,School screening
210,210,9,School screening
211,211,30,School screening
212,212,23,School screening
213,213,16,School screening
214,214,0,-
215,215,9,School screening
216,216,30,School screening
217,217,9,School screening
218,218,23,School screening
219,219,16,School screening
220,220,23,School screening
221,221,16,School screening
222,222,16,School screening
223,223,9,School screening
224,224,30,School screening
225,225,16,School screening
226,226,16,School screening
227,227,23,School screening
228,228,0,-
229,229,9,School screening
230,230,23,School screening
231,231,9,School screening
232,232,9,School screening
233,233,2,School screening
234,234,9,School screening
235,235,30,School screening
236,236,0,-
237,237,16,School screening
238,238,16,School screening
239,239,0,-
240,240,0,-
241,241,16,School screening
242,242,9,School screening
243,243,16,School screening
244,244,2,School screening
245,245,16,School screening
246,246,23,School screening
247,247,23,School screening
248,248,23,School screening
249,249,0,-
250,250,0,-
251,251,0,-
252,252,16,School screening
253,253,16,School screening
254,254,0,-
255,255,16,School screening
256,256,0,-
257,257,9,School screening
258,258,16,School screening
259,259,16,School screening
260,260,2,School screening
261,261,0,-
262,262,30,School screening
263,263,23,School screening
264,264,9,School screening
265,265,9,School screening
266,266,0,-
267,267,30,School screening
268,268,30,School screening
269,269,16,School screening
270,270,16,School screening
271,271,0,-
272,272,2,School screening
273,273,0,-
274,274,23,School screening
275,275,0,-
276,276,23,School screening
277,277,0,-
278,278,0,-
279,279,0,-
280,280,16,School screening
281,281,16,School screening
282,282,9,School screening
283,283,0,-
284,284,9,School screening
285,285,0,-
286,286,0,-
287,287,16,School screening
288,288,30,School screening
289,289,23,School screening
290,290,23,School screening
291,291,30,School screening
292,292,16,School screening
293,293,23,School screening
294,294,0,-
295,295,0,-
296,296,16,School screening
297,297,23,School screening
298,298,9,School screening
299,299,0,-
300,300,16,School screening
301,301,9,School screening
302,302,16,School screening
303,303,23,School screening
304,304,2,School screening
305,305,0,-
306,306,0,-
307,307,0,-
308,308,2,School screening
309,309,9,School screening
310,310,16,School screening
311,311,30,School screening
312,312,30,School screening
313,313,0,-
314,314,23,School screening
315,315,9,School screening
316,316,23,School screening
317,317,0,-
318,318,16,School screening
319,319,9,School screening
320,320,0,-
321,321,16,School screening
322,322,23,School screening
323,323,9,School screening
324,324,9,School screening
325,325,0,-
326,326,9,School screening
327,327,0,-
328,328,23,School screening
329,329,16,School screening
330,330,23,School screening
331,331,0,-
332,332,2,School screening
333,333,0,-
334,334,0,-
335,335,0,-
336,336,9,School screening
337,337,0,-
338,338,16,School screening
339,339,23,School screening
340,340,16,School screening
341,341,9,School screening
342,342,23,School screening
343,343,23,School screening
344,344,0,-
345,345,9,School screening
346,346,0,-
347,347,0,-
348,348,2,School screening
349,349,9,School screening
350,350,23,School screening
351,351,0,-
352,352,16,School screening
353,353,0,-
354,354,9,School screening
355,355,23,School screening
356,356,16,School screening
357,357,30,School screening
358,358,0,-
359,359,23,School screening
360,360,9,School screening
361,361,2,School screening
362,362,0,-
363,363,2,School screening
364,364,0,-
365,365,16,School screening
366,366,2,School screening
367,367,30,School screening
368,368,23,School screening
369,369,9,School screening
370,370,9,School screening
371,371,9,School screening
372,372,0,-
373,373,23,School screening
374,374,0,-
375,375,30,School screening
376,376,30,School screening
377,377,0,-
378,378,16,School screening
379,379,16,School screening
380,380,9,School screening
381,381,16,School screening
382,382,0,-
383,383,16,School screening
384,384,16,School screening
385,385,0,-
386,386,30,School screening
387,387,2,School screening
388,388,0,-
389,389,9,School screening
390,390,16,School screening
391,391,16,School screening
392,392,0,-
393,393,30,School screening
394,394,23,School screening
395,395,23,School screening
396,396,2,School screening
397,397,0,-
398,398,0,-
399,399,0,-
400,400,30,School screening
401,401,30,School screening
402,402,16,School screening
403,403,16,School screening
404,404,16,School screening
405,405,2,School screening
406,406,2,School screening
407,407,16,School screening
408,408,23,School screening
409,409,9,School screening
410,410,23,School screening
411,411,16,School screening
412,412,2,School screening
413,413,9,School screening
414,414,30,School screening
415,415,0,-
416,416,0,-
417,417,16,School screening
418,418,0,-
419,419,30,School screening
420,420,9,School screening
421,421,23,School screening
422,422,23,School screening
423,423,16,School screening
424,424,23,School screening
425,425,0,-
426,426,16,School screening
427,427,23,School screening
428,428,9,School screening
429,429,0,-
430,430,0,-
431,431,0,-
432,432,9,School screening
433,433,16,School screening
434,434,16,School screening
435,435,9,School screening
436,436,0,-
437,437,23,School screening
438,438,16,School screening
439,439,16,School screening
440,440,0,-
441,441,23,School screening
442,442,16,School screening
443,443,0,-
444,444,23,School screening
445,445,0,-
446,446,16,School screening
447,447,30,School screening
448,448,0,-
449,449,0,-
450,450,0,-
451,451,16,School screening
452,452,16,School screening
453,453,23,School screening
454,454,2,School screening
455,455,2,School screening
456,456,23,School screening
457,457,23,School screening
458,458,0,-
459,459,16,School screening
460,460,0,-
461,461,23,School screening
462,462,23,School screening
463,463,9,School screening
464,464,16,School screening
465,465,0,-
466,466,16,School screening
467,467,9,School screening
468,468,23,School screening
469,469,0,-
470,470,30,School screening
