,day,infected,type,stat,type_pretty
0,0.0,0.0,infected,mean,0%
1,1.0,0.0,infected,mean,0%
2,2.0,0.0,infected,mean,0%
3,3.0,0.0,infected,mean,0%
4,4.0,0.0,infected,mean,0%
5,5.0,0.0,infected,mean,0%
6,6.0,0.0,infected,mean,0%
7,7.0,0.0,infected,mean,0%
8,8.0,0.0,infected,mean,0%
9,9.0,0.0,infected,mean,0%
10,10.0,0.0,infected,mean,0%
11,11.0,0.0,infected,mean,0%
12,12.0,0.0,infected,mean,0%
13,13.0,0.0,infected,mean,0%
14,14.0,0.0,infected,mean,0%
15,15.0,0.0,infected,mean,0%
16,16.0,0.0,infected,mean,0%
17,17.0,0.0,infected,mean,0%
18,18.0,0.0,infected,mean,0%
19,19.0,0.0,infected,mean,0%
20,20.0,0.0,infected,mean,0%
21,21.0,0.0,infected,mean,0%
22,22.0,0.0,infected,mean,0%
23,23.0,0.0,infected,mean,0%
24,24.0,0.0,infected,mean,0%
25,25.0,0.0,infected,mean,0%
26,26.0,0.0,infected,mean,0%
27,27.0,0.0,infected,mean,0%
28,28.0,0.0,infected,mean,0%
29,29.0,0.0,infected,mean,0%
30,30.0,0.0,infected,mean,0%
31,31.0,0.0,infected,mean,0%
32,32.0,0.0,infected,mean,0%
33,33.0,0.0,infected,mean,0%
34,34.0,0.0,infected,mean,0%
35,35.0,0.0,infected,mean,0%
36,36.0,0.0,infected,mean,0%
37,37.0,0.0,infected,mean,0%
38,38.0,0.0,infected,mean,0%
39,39.0,0.0,infected,mean,0%
40,40.0,0.0,infected,mean,0%
41,41.0,0.0,infected,mean,0%
42,42.0,0.0,infected,mean,0%
43,43.0,0.0,infected,mean,0%
44,44.0,0.0,infected,mean,0%
45,45.0,0.0,infected,mean,0%
46,46.0,0.0,infected,mean,0%
47,47.0,0.0,infected,mean,0%
48,48.0,0.0,infected,mean,0%
49,49.0,0.0,infected,mean,0%
50,50.0,0.0,infected,mean,0%
51,51.0,0.0,infected,mean,0%
52,52.0,0.0,infected,mean,0%
53,53.0,0.0,infected,mean,0%
54,54.0,0.0,infected,mean,0%
55,55.0,0.0,infected,mean,0%
56,56.0,0.0,infected,mean,0%
57,57.0,0.0,infected,mean,0%
58,58.0,0.0,infected,mean,0%
59,59.0,0.0,infected,mean,0%
60,60.0,0.0,infected,mean,0%
61,0.0,0.0,infected,mean,10%
62,1.0,0.0,infected,mean,10%
63,2.0,0.0,infected,mean,10%
64,3.0,0.0,infected,mean,10%
65,4.0,0.0,infected,mean,10%
66,5.0,0.0,infected,mean,10%
67,6.0,0.0,infected,mean,10%
68,7.0,0.0,infected,mean,10%
69,8.0,0.0,infected,mean,10%
70,9.0,0.0,infected,mean,10%
71,10.0,0.0,infected,mean,10%
72,11.0,0.0,infected,mean,10%
73,12.0,0.0,infected,mean,10%
74,13.0,0.0,infected,mean,10%
75,14.0,0.0,infected,mean,10%
76,15.0,0.0,infected,mean,10%
77,16.0,0.0,infected,mean,10%
78,17.0,0.0,infected,mean,10%
79,18.0,0.0,infected,mean,10%
80,19.0,0.0,infected,mean,10%
81,20.0,0.0,infected,mean,10%
