,day,slope,type,type_pretty
0,0.0,0.08820000000002892,Total infected derivative,0%
1,1.0,0.18940000000000623,Total infected derivative,0%
2,2.0,0.5319999999999823,Total infected derivative,0%
3,3.0,1.0551000000000101,Total infected derivative,0%
4,4.0,1.7295500000000175,Total infected derivative,0%
5,5.0,1.8246500000000196,Total infected derivative,0%
6,6.0,1.3306499999999915,Total infected derivative,0%
7,7.0,1.6192999999999529,Total infected derivative,0%
8,8.0,2.7454500000000053,Total infected derivative,0%
9,9.0,3.8246000000000038,Total infected derivative,0%
10,10.0,4.560100000000006,Total infected derivative,0%
11,11.0,5.299549999999982,Total infected derivative,0%
12,12.0,4.940949999999958,Total infected derivative,0%
13,13.0,3.559150000000031,Total infected derivative,0%
14,14.0,3.638300000000015,Total infected derivative,0%
15,15.0,4.882800000000003,Total infected derivative,0%
16,16.0,5.6933500000000095,Total infected derivative,0%
17,17.0,5.922849999999997,Total infected derivative,0%
18,18.0,6.324600000000004,Total infected derivative,0%
19,19.0,5.73545,Total infected derivative,0%
20,20.0,4.091250000000002,Total infected derivative,0%
21,21.0,3.9798499999999706,Total infected derivative,0%
22,22.0,5.022999999999996,Total infected derivative,0%
23,23.0,5.624350000000021,Total infected derivative,0%
24,24.0,5.84675,Total infected derivative,0%
25,25.0,5.980950000000007,Total infected derivative,0%
26,26.0,5.07504999999999,Total infected derivative,0%
27,27.0,3.554149999999993,Total infected derivative,0%
28,28.0,3.3237000000000023,Total infected derivative,0%
29,29.0,4.033000000000001,Total infected derivative,0%
30,30.0,4.358699999999999,Total infected derivative,0%
31,31.0,4.26155,Total infected derivative,0%
32,32.0,4.205450000000013,Total infected derivative,0%
33,33.0,3.7554500000000104,Total infected derivative,0%
34,34.0,2.7364499999999907,Total infected derivative,0%
35,35.0,2.3707499999999726,Total infected derivative,0%
36,36.0,2.746449999999996,Total infected derivative,0%
37,37.0,2.963950000000011,Total infected derivative,0%
38,38.0,3.0370999999999952,Total infected derivative,0%
39,39.0,3.129249999999999,Total infected derivative,0%
40,40.0,2.657350000000008,Total infected derivative,0%
41,41.0,1.8437500000000142,Total infected derivative,0%
42,42.0,1.7805500000000052,Total infected derivative,0%
43,43.0,2.1312499999999943,Total infected derivative,0%
44,44.0,2.350749999999991,Total infected derivative,0%
45,45.0,2.37469999999999,Total infected derivative,0%
46,46.0,2.2794999999999987,Total infected derivative,0%
47,47.0,1.9178500000000156,Total infected derivative,0%
48,48.0,1.325649999999996,Total infected derivative,0%
49,49.0,1.2554999999999978,Total infected derivative,0%
50,50.0,1.5371000000000095,Total infected derivative,0%
51,51.0,1.6593999999999909,Total infected derivative,0%
52,52.0,1.6402999999999963,Total infected derivative,0%
53,53.0,1.6182000000000016,Total infected derivative,0%
54,54.0,1.393700000000024,Total infected derivative,0%
55,55.0,1.0009500000000031,Total infected derivative,0%
56,56.0,0.9038499999999914,Total infected derivative,0%
57,57.0,1.1273000000000053,Total infected derivative,0%
58,58.0,1.325649999999996,Total infected derivative,0%
59,59.0,1.3646999999999991,Total infected derivative,0%
60,60.0,,Total infected derivative,0%
61,0.0,0.07209999999997763,Total infected derivative,10%
62,1.0,0.14330000000001064,Total infected derivative,10%
63,2.0,0.3687500000000057,Total infected derivative,10%
64,3.0,0.6894000000000062,Total infected derivative,10%
65,4.0,1.0811999999999955,Total infected derivative,10%
66,5.0,1.1673499999999706,Total infected derivative,10%
67,6.0,0.9298000000000002,Total infected derivative,10%
68,7.0,1.2103500000000054,Total infected derivative,10%
69,8.0,2.074200000000019,Total infected derivative,10%
70,9.0,2.885850000000005,Total infected derivative,10%
71,10.0,3.4538499999999885,Total infected derivative,10%
72,11.0,4.133149999999972,Total infected derivative,10%
73,12.0,3.9188999999999794,Total infected derivative,10%
74,13.0,2.8387000000000455,Total infected derivative,10%
75,14.0,3.032100000000071,Total infected derivative,10%
76,15.0,4.13324999999999,Total infected derivative,10%
77,16.0,4.8395999999999475,Total infected derivative,10%
78,17.0,5.263600000000011,Total infected derivative,10%
79,18.0,5.751500000000036,Total infected derivative,10%
80,19.0,5.0480500000000035,Total infected derivative,10%
81,20.0,3.534999999999954,Total infected derivative,10%
82,21.0,3.426799999999986,Total infected derivative,10%
83,22.0,4.1895000000000095,Total infected derivative,10%
84,23.0,4.6203,Total infected derivative,10%
85,24.0,4.8075000000000045,Total infected derivative,10%
86,25.0,4.907749999999993,Total infected derivative,10%
87,26.0,4.213450000000023,Total infected derivative,10%
88,27.0,3.011150000000015,Total infected derivative,10%
89,28.0,2.7525999999999726,Total infected derivative,10%
90,29.0,3.439799999999991,Total infected derivative,10%
91,30.0,3.7874499999999927,Total infected derivative,10%
92,31.0,3.734499999999997,Total infected derivative,10%
93,32.0,3.8016999999999967,Total infected derivative,10%
94,33.0,3.240499999999983,Total infected derivative,10%
95,34.0,2.342700000000022,Total infected derivative,10%
96,35.0,2.1574500000000256,Total infected derivative,10%
97,36.0,2.5009999999999764,Total infected derivative,10%
98,37.0,2.832599999999985,Total infected derivative,10%
99,38.0,2.8947000000000145,Total infected derivative,10%
100,39.0,2.86160000000001,Total infected derivative,10%
101,40.0,2.5201000000000136,Total infected derivative,10%
102,41.0,1.836749999999995,Total infected derivative,10%
103,42.0,1.6082499999999698,Total infected derivative,10%
104,43.0,1.9317999999999955,Total infected derivative,10%
105,44.0,2.2316000000000145,Total infected derivative,10%
106,45.0,2.310649999999981,Total infected derivative,10%
107,46.0,2.2944999999999993,Total infected derivative,10%
108,47.0,1.9450000000000358,Total infected derivative,10%
109,48.0,1.397750000000002,Total infected derivative,10%
