,day,cumulative_infected,type,type_of_screening_pretty
0,1.0,0.0,Total infected,Without screening
1,2.0,0.712600000000009,Total infected,Without screening
2,3.0,2.0541000000000054,Total infected,Without screening
3,4.0,4.100100000000026,Total infected,Without screening
4,5.0,7.07110000000003,Total infected,Without screening
5,6.0,10.887800000000027,Total infected,Without screening
6,7.0,14.306399999999996,Total infected,Without screening
7,8.0,17.37349999999998,Total infected,Without screening
8,9.0,22.450500000000005,Total infected,Without screening
9,10.0,29.173099999999977,Total infected,Without screening
10,11.0,37.25629999999998,Total infected,Without screening
11,12.0,46.7107,Total infected,Without screening
12,13.0,57.07110000000003,Total infected,Without screening
13,14.0,64.86889999999997,Total infected,Without screening
14,15.0,70.7938,Total infected,Without screening
15,16.0,79.0721,Total infected,Without screening
16,17.0,88.31239999999997,Total infected,Without screening
17,18.0,97.99689999999998,Total infected,Without screening
18,19.0,107.98300000000003,Total infected,Without screening
19,20.0,117.7746,Total infected,Without screening
20,21.0,124.977,Total infected,Without screening
21,22.0,130.31130000000002,Total infected,Without screening
22,23.0,136.2283,Total infected,Without screening
23,24.0,142.2371,Total infected,Without screening
24,25.0,147.97289999999998,Total infected,Without screening
25,26.0,153.5265,Total infected,Without screening
26,27.0,158.52949999999998,Total infected,Without screening
27,28.0,162.3182,Total infected,Without screening
28,29.0,164.9669,Total infected,Without screening
29,30.0,167.964,Total infected,Without screening
30,31.0,170.9189,Total infected,Without screening
31,32.0,173.73680000000002,Total infected,Without screening
32,33.0,176.3874,Total infected,Without screening
33,34.0,179.044,Total infected,Without screening
34,35.0,181.04809999999998,Total infected,Without screening
35,1.0,0.0,Total infected,Screening 25%
36,2.0,0.7286000000000001,Total infected,Screening 25%
37,3.0,2.1206999999999994,Total infected,Screening 25%
38,4.0,4.220999999999975,Total infected,Screening 25%
39,5.0,7.0,Total infected,Screening 25%
40,6.0,11.185899999999975,Total infected,Screening 25%
41,7.0,14.66840000000002,Total infected,Screening 25%
42,8.0,17.492400000000032,Total infected,Screening 25%
43,9.0,22.241199999999964,Total infected,Screening 25%
44,10.0,28.819199999999995,Total infected,Screening 25%
45,11.0,36.19589999999994,Total infected,Screening 25%
46,12.0,44.412000000000035,Total infected,Screening 25%
47,13.0,53.40690000000001,Total infected,Screening 25%
48,14.0,60.24629999999999,Total infected,Screening 25%
49,15.0,65.40689999999998,Total infected,Screening 25%
50,16.0,72.79880000000003,Total infected,Screening 25%
51,17.0,80.7336,Total infected,Screening 25%
52,18.0,88.73359999999997,Total infected,Screening 25%
53,19.0,96.412,Total infected,Screening 25%
54,20.0,103.90470000000002,Total infected,Screening 25%
55,21.0,109.52770000000001,Total infected,Screening 25%
56,22.0,113.7638,Total infected,Screening 25%
57,23.0,118.60289999999999,Total infected,Screening 25%
58,24.0,123.3266,Total infected,Screening 25%
59,25.0,127.88450000000002,Total infected,Screening 25%
60,26.0,132.1961,Total infected,Screening 25%
61,27.0,136.1105,Total infected,Screening 25%
62,28.0,138.99490000000003,Total infected,Screening 25%
63,29.0,141.412,Total infected,Screening 25%
64,30.0,143.9146,Total infected,Screening 25%
65,31.0,146.58780000000002,Total infected,Screening 25%
66,32.0,149.0702,Total infected,Screening 25%
67,33.0,151.5277,Total infected,Screening 25%
68,34.0,153.97469999999998,Total infected,Screening 25%
69,35.0,155.94960000000003,Total infected,Screening 25%
70,1.0,0.0,Total infected,Screening 50%
71,2.0,0.7688000000000272,Total infected,Screening 50%
72,3.0,2.1859000000000037,Total infected,Screening 50%
73,4.0,4.3367000000000075,Total infected,Screening 50%
74,5.0,7.316499999999991,Total infected,Screening 50%
75,6.0,11.085399999999993,Total infected,Screening 50%
76,7.0,14.14070000000001,Total infected,Screening 50%
77,8.0,17.301399999999973,Total infected,Screening 50%
78,9.0,22.135700000000014,Total infected,Screening 50%
79,10.0,28.477299999999985,Total infected,Screening 50%
80,11.0,35.884299999999996,Total infected,Screening 50%
81,12.0,43.64330000000001,Total infected,Screening 50%
82,13.0,51.71860000000001,Total infected,Screening 50%
83,14.0,57.74370000000002,Total infected,Screening 50%
84,15.0,62.2765,Total infected,Screening 50%
85,16.0,68.29149999999998,Total infected,Screening 50%
86,17.0,75.33170000000004,Total infected,Screening 50%
87,18.0,81.74360000000001,Total infected,Screening 50%
88,19.0,88.6231,Total infected,Screening 50%
89,20.0,95.08539999999999,Total infected,Screening 50%
90,21.0,99.50750000000002,Total infected,Screening 50%
91,22.0,102.71369999999999,Total infected,Screening 50%
92,23.0,106.2613,Total infected,Screening 50%
93,24.0,110.06039999999999,Total infected,Screening 50%
94,25.0,113.46750000000002,Total infected,Screening 50%
95,26.0,116.8795,Total infected,Screening 50%
96,27.0,119.91470000000002,Total infected,Screening 50%
97,28.0,122.18590000000002,Total infected,Screening 50%
98,29.0,124.22610000000002,Total infected,Screening 50%
99,30.0,126.39189999999999,Total infected,Screening 50%
100,31.0,128.9395,Total infected,Screening 50%
101,32.0,131.2612,Total infected,Screening 50%
102,33.0,133.799,Total infected,Screening 50%
103,34.0,136.03519999999997,Total infected,Screening 50%
104,35.0,138.09549999999996,Total infected,Screening 50%
105,1.0,0.0,Total infected,Screening 100%
106,2.0,0.7789999999999964,Total infected,Screening 100%
107,3.0,2.1356999999999857,Total infected,Screening 100%
108,4.0,4.190899999999971,Total infected,Screening 100%
109,5.0,6.94470000000004,Total infected,Screening 100%
110,6.0,10.573000000000036,Total infected,Screening 100%
