,day,agents,type,type_of_screening_pretty
0,1.0,0.9816,Infected,Screening 25%
1,2.0,1.029,Infected,Screening 25%
2,3.0,1.2382,Infected,Screening 25%
3,4.0,1.5766,Infected,Screening 25%
4,5.0,2.026,Infected,Screening 25%
5,6.0,2.5616,Infected,Screening 25%
6,7.0,2.7891,Infected,Screening 25%
7,8.0,2.6366,Infected,Screening 25%
8,9.0,2.7718,Infected,Screening 25%
9,10.0,2.8829,Infected,Screening 25%
10,11.0,3.3437,Infected,Screening 25%
11,12.0,3.8061,Infected,Screening 25%
12,13.0,4.3917,Infected,Screening 25%
13,14.0,4.6236,Infected,Screening 25%
14,15.0,4.0667,Infected,Screening 25%
15,16.0,3.8268,Infected,Screening 25%
16,17.0,3.5949,Infected,Screening 25%
17,18.0,3.94,Infected,Screening 25%
18,19.0,4.3303,Infected,Screening 25%
19,20.0,4.8545,Infected,Screening 25%
20,21.0,4.999,Infected,Screening 25%
21,22.0,4.4461,Infected,Screening 25%
22,23.0,4.1985,Infected,Screening 25%
23,24.0,3.9583,Infected,Screening 25%
24,25.0,4.2379,Infected,Screening 25%
25,26.0,4.5856,Infected,Screening 25%
26,27.0,5.053,Infected,Screening 25%
27,28.0,5.1962,Infected,Screening 25%
28,29.0,4.6353,Infected,Screening 25%
29,30.0,4.3764,Infected,Screening 25%
30,31.0,4.0871,Infected,Screening 25%
31,32.0,4.357,Infected,Screening 25%
32,33.0,4.6236,Infected,Screening 25%
33,34.0,5.0534,Infected,Screening 25%
34,35.0,5.1495,Infected,Screening 25%
35,1.0,0.0184,Infected in quarantine,Screening 25%
36,2.0,0.0374,Infected in quarantine,Screening 25%
37,3.0,0.0924,Infected in quarantine,Screening 25%
38,4.0,0.1041,Infected in quarantine,Screening 25%
39,5.0,0.1331,Infected in quarantine,Screening 25%
40,6.0,0.1311,Infected in quarantine,Screening 25%
41,7.0,0.1185,Infected in quarantine,Screening 25%
42,8.0,0.3237,Infected in quarantine,Screening 25%
43,9.0,0.5452,Infected in quarantine,Screening 25%
44,10.0,0.8785,Infected in quarantine,Screening 25%
45,11.0,0.9349,Infected in quarantine,Screening 25%
46,12.0,1.0127,Infected in quarantine,Screening 25%
47,13.0,0.9379,Infected in quarantine,Screening 25%
