,day,cumulative_infected,type,type_pretty
0,1.0,-9.999999997489795e-05,Total infected,0%
1,2.0,1.4268999999999892,Total infected,0%
2,3.0,4.631200000000035,Total infected,0%
3,4.0,10.198300000000017,Total infected,0%
4,5.0,19.607199999999978,Total infected,0%
5,6.0,33.47700000000003,Total infected,0%
6,7.0,44.206399999999974,Total infected,0%
7,8.0,53.080100000000016,Total infected,0%
8,9.0,70.5711,Total infected,0%
9,10.0,93.54110000000003,Total infected,0%
10,11.0,118.4108,Total infected,0%
11,12.0,143.00799999999998,Total infected,0%
12,13.0,165.6393,Total infected,0%
13,14.0,182.1283,Total infected,0%
14,15.0,194.525,Total infected,0%
15,16.0,206.8557,Total infected,0%
16,17.0,217.7755,Total infected,0%
17,18.0,226.523,Total infected,0%
18,19.0,233.8397,Total infected,0%
19,20.0,239.4389,Total infected,0%
20,21.0,243.2284,Total infected,0%
21,22.0,245.9479,Total infected,0%
22,23.0,248.1523,Total infected,0%
23,24.0,249.8397,Total infected,0%
24,25.0,251.0341,Total infected,0%
25,26.0,251.9279,Total infected,0%
26,27.0,252.6293,Total infected,0%
27,28.0,253.1603,Total infected,0%
28,29.0,253.503,Total infected,0%
29,30.0,253.7454,Total infected,0%
30,31.0,253.9699,Total infected,0%
31,32.0,254.11430000000001,Total infected,0%
32,33.0,254.2585,Total infected,0%
33,34.0,254.33859999999999,Total infected,0%
34,35.0,254.4308,Total infected,0%
35,36.0,254.485,Total infected,0%
36,37.0,254.527,Total infected,0%
37,38.0,254.5651,Total infected,0%
38,39.0,254.6012,Total infected,0%
39,40.0,254.62529999999998,Total infected,0%
40,41.0,254.6473,Total infected,0%
41,42.0,254.6553,Total infected,0%
42,43.0,254.6713,Total infected,0%
43,44.0,254.6873,Total infected,0%
44,45.0,254.6934,Total infected,0%
45,46.0,254.7074,Total infected,0%
46,47.0,254.7194,Total infected,0%
47,48.0,254.7214,Total infected,0%
48,49.0,254.7294,Total infected,0%
49,50.0,254.74349999999998,Total infected,0%
50,51.0,254.7434,Total infected,0%
51,52.0,254.74939999999998,Total infected,0%
52,53.0,254.7635,Total infected,0%
53,54.0,254.7656,Total infected,0%
54,55.0,254.7655,Total infected,0%
55,56.0,254.7755,Total infected,0%
56,57.0,254.7755,Total infected,0%
57,58.0,254.8016,Total infected,0%
58,59.0,254.80759999999998,Total infected,0%
59,60.0,254.8096,Total infected,0%
60,1.0,0.0,Total infected,10%
61,2.0,1.3786999999999807,Total infected,10%
62,3.0,4.348700000000008,Total infected,10%
63,4.0,9.555100000000039,Total infected,10%
64,5.0,17.851699999999994,Total infected,10%
65,6.0,30.058100000000024,Total infected,10%
66,7.0,39.67330000000001,Total infected,10%
67,8.0,47.488999999999976,Total infected,10%
68,9.0,62.665400000000005,Total infected,10%
69,10.0,82.49889999999999,Total infected,10%
70,11.0,104.72739999999999,Total infected,10%
71,12.0,127.18030000000002,Total infected,10%
72,13.0,148.2665,Total infected,10%
73,14.0,163.4729,Total infected,10%
74,15.0,174.6493,Total infected,10%
75,16.0,187.014,Total infected,10%
