,day,slope,type,type_pretty
0,0.0,-9.999999997489795e-05,Total infected derivative,0%
1,1.0,0.7134499999999946,Total infected derivative,0%
2,2.0,2.315650000000005,Total infected derivative,0%
3,3.0,4.385700000000014,Total infected derivative,0%
4,4.0,7.487999999999971,Total infected derivative,0%
5,5.0,11.639350000000007,Total infected derivative,0%
6,6.0,12.299599999999998,Total infected derivative,0%
7,7.0,9.801549999999992,Total infected derivative,0%
8,8.0,13.182350000000014,Total infected derivative,0%
9,9.0,20.230500000000006,Total infected derivative,0%
10,10.0,23.919849999999997,Total infected derivative,0%
11,11.0,24.733449999999976,Total infected derivative,0%
12,12.0,23.61425,Total infected derivative,0%
13,13.0,19.560150000000007,Total infected derivative,0%
14,14.0,14.442850000000007,Total infected derivative,0%
15,15.0,12.363700000000009,Total infected derivative,0%
16,16.0,11.625249999999994,Total infected derivative,0%
17,17.0,9.833649999999992,Total infected derivative,0%
18,18.0,8.0321,Total infected derivative,0%
19,19.0,6.457949999999997,Total infected derivative,0%
20,20.0,4.69435,Total infected derivative,0%
21,21.0,3.2545000000000073,Total infected derivative,0%
22,22.0,2.4619500000000016,Total infected derivative,0%
23,23.0,1.9458999999999946,Total infected derivative,0%
24,24.0,1.4408999999999992,Total infected derivative,0%
25,25.0,1.0441000000000003,Total infected derivative,0%
26,26.0,0.7976000000000028,Total infected derivative,0%
27,27.0,0.6162000000000063,Total infected derivative,0%
28,28.0,0.43684999999999263,Total infected derivative,0%
29,29.0,0.29254999999999143,Total infected derivative,0%
30,30.0,0.23345000000000482,Total infected derivative,0%
31,31.0,0.18445000000001244,Total infected derivative,0%
32,32.0,0.1443000000000012,Total infected derivative,0%
33,33.0,0.11214999999998554,Total infected derivative,0%
34,34.0,0.0861500000000035,Total infected derivative,0%
35,35.0,0.07320000000001414,Total infected derivative,0%
36,36.0,0.04809999999999093,Total infected derivative,0%
37,37.0,0.0400499999999937,Total infected derivative,0%
38,38.0,0.03710000000000946,Total infected derivative,0%
39,39.0,0.030099999999990246,Total infected derivative,0%
40,40.0,0.023049999999997794,Total infected derivative,0%
41,41.0,0.01500000000001478,Total infected derivative,0%
42,42.0,0.012000000000000455,Total infected derivative,0%
43,43.0,0.015999999999991132,Total infected derivative,0%
44,44.0,0.01104999999999734,Total infected derivative,0%
45,45.0,0.010050000000006776,Total infected derivative,0%
46,46.0,0.01300000000000523,Total infected derivative,0%
47,47.0,0.006999999999990791,Total infected derivative,0%
48,48.0,0.0049999999999954525,Total infected derivative,0%
49,49.0,0.01104999999999734,Total infected derivative,0%
50,50.0,0.007000000000005002,Total infected derivative,0%
51,51.0,0.002949999999998454,Total infected derivative,0%
52,52.0,0.010049999999992565,Total infected derivative,0%
53,53.0,0.008100000000013097,Total infected derivative,0%
54,54.0,0.0010000000000047748,Total infected derivative,0%
55,55.0,0.004949999999993793,Total infected derivative,0%
56,56.0,0.0049999999999954525,Total infected derivative,0%
57,57.0,0.01305000000000689,Total infected derivative,0%
58,58.0,0.016049999999992792,Total infected derivative,0%
59,59.0,0.003999999999990678,Total infected derivative,0%
60,60.0,0.0020000000000095497,Total infected derivative,0%
61,0.0,0.0,Total infected derivative,10%
62,1.0,0.6893499999999904,Total infected derivative,10%
63,2.0,2.174350000000004,Total infected derivative,10%
64,3.0,4.088200000000029,Total infected derivative,10%
65,4.0,6.751499999999993,Total infected derivative,10%
66,5.0,10.251499999999993,Total infected derivative,10%
67,6.0,10.910800000000009,Total infected derivative,10%
68,7.0,8.715449999999976,Total infected derivative,10%
69,8.0,11.496049999999997,Total infected derivative,10%
70,9.0,17.504950000000008,Total infected derivative,10%
71,10.0,21.03099999999999,Total infected derivative,10%
72,11.0,22.340700000000012,Total infected derivative,10%
73,12.0,21.76955000000001,Total infected derivative,10%
74,13.0,18.146299999999997,Total infected derivative,10%
75,14.0,13.191400000000002,Total infected derivative,10%
76,15.0,11.77055,Total infected derivative,10%
77,16.0,11.69234999999999,Total infected derivative,10%
78,17.0,10.175399999999996,Total infected derivative,10%
79,18.0,8.382800000000003,Total infected derivative,10%
80,19.0,6.664299999999997,Total infected derivative,10%
81,20.0,5.119200000000006,Total infected derivative,10%
82,21.0,3.707400000000007,Total infected derivative,10%
83,22.0,2.748499999999993,Total infected derivative,10%
84,23.0,2.1583499999999987,Total infected derivative,10%
85,24.0,1.6463000000000108,Total infected derivative,10%
86,25.0,1.2173999999999978,Total infected derivative,10%
87,26.0,0.8957999999999942,Total infected derivative,10%
