,day,cumulative_infected,type,type_of_npis_pretty
0,1.0,0.0,Total infected,With NPIs
1,2.0,0.015099999999989677,Total infected,With NPIs
2,3.0,0.028999999999996362,Total infected,With NPIs
3,4.0,0.054099999999976944,Total infected,With NPIs
4,5.0,0.07900000000000773,Total infected,With NPIs
5,6.0,0.11320000000000618,Total infected,With NPIs
6,7.0,0.15319999999999823,Total infected,With NPIs
7,8.0,0.19020000000000437,Total infected,With NPIs
8,9.0,0.25620000000000687,Total infected,With NPIs
9,10.0,0.34039999999995985,Total infected,With NPIs
10,11.0,0.4864000000000033,Total infected,With NPIs
11,12.0,0.6256999999999948,Total infected,With NPIs
12,13.0,0.801900000000046,Total infected,With NPIs
13,14.0,0.9488999999999805,Total infected,With NPIs
14,15.0,1.052000000000021,Total infected,With NPIs
15,16.0,1.2231999999999914,Total infected,With NPIs
16,17.0,1.4445000000000334,Total infected,With NPIs
17,18.0,1.703800000000001,Total infected,With NPIs
18,19.0,1.9819999999999993,Total infected,With NPIs
19,20.0,2.3144000000000062,Total infected,With NPIs
20,21.0,2.5855999999999995,Total infected,With NPIs
21,22.0,2.764800000000008,Total infected,With NPIs
22,23.0,3.038099999999986,Total infected,With NPIs
23,24.0,3.374300000000005,Total infected,With NPIs
24,25.0,3.7577,Total infected,With NPIs
25,26.0,4.1422000000000025,Total infected,With NPIs
26,27.0,4.605699999999985,Total infected,With NPIs
27,28.0,4.977000000000032,Total infected,With NPIs
28,29.0,5.229199999999992,Total infected,With NPIs
29,30.0,5.6156999999999755,Total infected,With NPIs
30,31.0,6.120200000000011,Total infected,With NPIs
31,32.0,6.716599999999971,Total infected,With NPIs
32,33.0,7.324200000000019,Total infected,With NPIs
33,34.0,8.01400000000001,Total infected,With NPIs
34,35.0,8.49739999999997,Total infected,With NPIs
35,1.0,0.0,Total infected,Without NPIs
36,2.0,0.014999999999986358,Total infected,Without NPIs
37,3.0,0.05910000000000082,Total infected,Without NPIs
38,4.0,0.13120000000000687,Total infected,Without NPIs
39,5.0,0.2744000000000426,Total infected,Without NPIs
40,6.0,0.4655999999999949,Total infected,Without NPIs
41,7.0,0.6477000000000146,Total infected,Without NPIs
42,8.0,0.7849000000000217,Total infected,Without NPIs
43,9.0,1.172300000000007,Total infected,Without NPIs
44,10.0,1.7597000000000094,Total infected,Without NPIs
45,11.0,2.5202999999999918,Total infected,Without NPIs
46,12.0,3.3463000000000136,Total infected,Without NPIs
47,13.0,4.34529999999998,Total infected,Without NPIs
48,14.0,5.039999999999992,Total infected,Without NPIs
49,15.0,5.563600000000008,Total infected,Without NPIs
50,16.0,6.694699999999983,Total infected,Without NPIs
51,17.0,8.204199999999986,Total infected,Without NPIs
52,18.0,9.901999999999958,Total infected,Without NPIs
53,19.0,11.787800000000004,Total infected,Without NPIs
54,20.0,14.099099999999964,Total infected,Without NPIs
55,21.0,15.854900000000015,Total infected,Without NPIs
56,22.0,17.038099999999957,Total infected,Without NPIs
57,23.0,19.218199999999968,Total infected,Without NPIs
58,24.0,21.89179999999999,Total infected,Without NPIs
59,25.0,24.84480000000002,Total infected,Without NPIs
60,26.0,28.01310000000001,Total infected,Without NPIs
61,27.0,31.387500000000017,Total infected,Without NPIs
62,28.0,33.82990000000001,Total infected,Without NPIs
63,29.0,35.622600000000006,Total infected,Without NPIs
64,30.0,38.50540000000001,Total infected,Without NPIs
65,31.0,41.809799999999996,Total infected,Without NPIs
66,32.0,45.153099999999995,Total infected,Without NPIs
67,33.0,48.543600000000026,Total infected,Without NPIs
68,34.0,52.078,Total infected,Without NPIs
69,35.0,54.574599999999975,Total infected,Without NPIs
