,day,agents,type,type_of_screening_pretty
0,1.0,0.0,Infected,Without screening
1,2.0,0.015,Infected,Without screening
2,3.0,0.026,Infected,Without screening
3,4.0,0.048,Infected,Without screening
4,5.0,0.0691,Infected,Without screening
5,6.0,0.0911,Infected,Without screening
6,7.0,0.1191,Infected,Without screening
7,8.0,0.1411,Infected,Without screening
8,9.0,0.1912,Infected,Without screening
9,10.0,0.2513,Infected,Without screening
10,11.0,0.3694,Infected,Without screening
11,12.0,0.4294,Infected,Without screening
12,13.0,0.5355,Infected,Without screening
13,14.0,0.5746,Infected,Without screening
14,15.0,0.5736,Infected,Without screening
15,16.0,0.6306,Infected,Without screening
16,17.0,0.7037,Infected,Without screening
17,18.0,0.8288,Infected,Without screening
18,19.0,0.9309,Infected,Without screening
19,20.0,1.0851,Infected,Without screening
20,21.0,1.1491,Infected,Without screening
21,22.0,1.1041,Infected,Without screening
22,23.0,1.1622,Infected,Without screening
23,24.0,1.2052,Infected,Without screening
24,25.0,1.3303,Infected,Without screening
25,26.0,1.3624,Infected,Without screening
26,27.0,1.5616,Infected,Without screening
27,28.0,1.6156,Infected,Without screening
28,29.0,1.5335,Infected,Without screening
29,30.0,1.5776,Infected,Without screening
30,31.0,1.7387,Infected,Without screening
31,32.0,1.977,Infected,Without screening
32,33.0,2.1502,Infected,Without screening
33,34.0,2.4194,Infected,Without screening
34,35.0,2.3564,Infected,Without screening
35,1.0,0.0,Infected in quarantine,Without screening
36,2.0,0.0,Infected in quarantine,Without screening
37,3.0,0.0,Infected in quarantine,Without screening
38,4.0,0.0,Infected in quarantine,Without screening
39,5.0,0.0,Infected in quarantine,Without screening
40,6.0,0.004,Infected in quarantine,Without screening
41,7.0,0.004,Infected in quarantine,Without screening
42,8.0,0.007,Infected in quarantine,Without screening
43,9.0,0.01,Infected in quarantine,Without screening
44,10.0,0.01,Infected in quarantine,Without screening
45,11.0,0.012,Infected in quarantine,Without screening
46,12.0,0.039,Infected in quarantine,Without screening
47,13.0,0.06,Infected in quarantine,Without screening
48,14.0,0.0871,Infected in quarantine,Without screening
49,15.0,0.1112,Infected in quarantine,Without screening
50,16.0,0.1251,Infected in quarantine,Without screening
51,17.0,0.16920000000000002,Infected in quarantine,Without screening
52,18.0,0.1822,Infected in quarantine,Without screening
53,19.0,0.2113,Infected in quarantine,Without screening
54,20.0,0.24830000000000002,Infected in quarantine,Without screening
55,21.0,0.2953,Infected in quarantine,Without screening
56,22.0,0.3263,Infected in quarantine,Without screening
57,23.0,0.3383,Infected in quarantine,Without screening
58,24.0,0.4204,Infected in quarantine,Without screening
59,25.0,0.4354,Infected in quarantine,Without screening
60,26.0,0.5285,Infected in quarantine,Without screening
61,27.0,0.5645,Infected in quarantine,Without screening
62,28.0,0.6036,Infected in quarantine,Without screening
63,29.0,0.5996,Infected in quarantine,Without screening
64,30.0,0.6727,Infected in quarantine,Without screening
65,31.0,0.6877,Infected in quarantine,Without screening
66,32.0,0.6927,Infected in quarantine,Without screening
67,33.0,0.8008,Infected in quarantine,Without screening
68,34.0,0.8118,Infected in quarantine,Without screening
69,35.0,0.9139,Infected in quarantine,Without screening
70,1.0,0.0,Infected,Screening 25%
71,2.0,0.005,Infected,Screening 25%
72,3.0,0.0251,Infected,Screening 25%
73,4.0,0.0201,Infected,Screening 25%
74,5.0,0.0452,Infected,Screening 25%
75,6.0,0.0854,Infected,Screening 25%
76,7.0,0.1256,Infected,Screening 25%
77,8.0,0.1558,Infected,Screening 25%
78,9.0,0.2211,Infected,Screening 25%
79,10.0,0.2965,Infected,Screening 25%
80,11.0,0.397,Infected,Screening 25%
81,12.0,0.4422,Infected,Screening 25%
82,13.0,0.6281,Infected,Screening 25%
83,14.0,0.6332,Infected,Screening 25%
84,15.0,0.593,Infected,Screening 25%
85,16.0,0.6683,Infected,Screening 25%
86,17.0,0.5528,Infected,Screening 25%
87,18.0,0.6533,Infected,Screening 25%
88,19.0,0.7688,Infected,Screening 25%
89,20.0,0.9045,Infected,Screening 25%
90,21.0,0.9146,Infected,Screening 25%
91,22.0,1.0151,Infected,Screening 25%
92,23.0,1.1658,Infected,Screening 25%
93,24.0,1.0854,Infected,Screening 25%
94,25.0,1.3216,Infected,Screening 25%
95,26.0,1.5276,Infected,Screening 25%
96,27.0,1.7286,Infected,Screening 25%
97,28.0,1.7337,Infected,Screening 25%
98,29.0,1.7186,Infected,Screening 25%
99,30.0,1.7136,Infected,Screening 25%
100,31.0,1.3819,Infected,Screening 25%
101,32.0,1.6231,Infected,Screening 25%
102,33.0,1.5678,Infected,Screening 25%
103,34.0,1.7286,Infected,Screening 25%
104,35.0,1.6683,Infected,Screening 25%
105,1.0,0.0,Infected in quarantine,Screening 25%
106,2.0,0.0,Infected in quarantine,Screening 25%
107,3.0,0.0,Infected in quarantine,Screening 25%
108,4.0,0.0,Infected in quarantine,Screening 25%
109,5.0,0.0,Infected in quarantine,Screening 25%
110,6.0,0.0,Infected in quarantine,Screening 25%
111,7.0,0.0,Infected in quarantine,Screening 25%
112,8.0,0.005,Infected in quarantine,Screening 25%
113,9.0,0.005,Infected in quarantine,Screening 25%
114,10.0,0.0352,Infected in quarantine,Screening 25%
115,11.0,0.0654,Infected in quarantine,Screening 25%
116,12.0,0.1055,Infected in quarantine,Screening 25%
117,13.0,0.1106,Infected in quarantine,Screening 25%
118,14.0,0.1659,Infected in quarantine,Screening 25%
119,15.0,0.1608,Infected in quarantine,Screening 25%
120,16.0,0.1709,Infected in quarantine,Screening 25%
121,17.0,0.45230000000000004,Infected in quarantine,Screening 25%
122,18.0,0.49750000000000005,Infected in quarantine,Screening 25%
123,19.0,0.4924,Infected in quarantine,Screening 25%
124,20.0,0.5527,Infected in quarantine,Screening 25%
125,21.0,0.5578000000000001,Infected in quarantine,Screening 25%
126,22.0,0.4875,Infected in quarantine,Screening 25%
127,23.0,0.5025,Infected in quarantine,Screening 25%
128,24.0,0.6734,Infected in quarantine,Screening 25%
129,25.0,0.6332,Infected in quarantine,Screening 25%
130,26.0,0.7136,Infected in quarantine,Screening 25%
131,27.0,0.7589,Infected in quarantine,Screening 25%
132,28.0,0.7588,Infected in quarantine,Screening 25%
133,29.0,0.7689,Infected in quarantine,Screening 25%
134,30.0,0.784,Infected in quarantine,Screening 25%
135,31.0,1.2161,Infected in quarantine,Screening 25%
136,32.0,1.201,Infected in quarantine,Screening 25%
137,33.0,1.4020000000000001,Infected in quarantine,Screening 25%
138,34.0,1.392,Infected in quarantine,Screening 25%
139,35.0,1.4774,Infected in quarantine,Screening 25%
140,1.0,0.0,Infected,Screening 50%
141,2.0,0.0151,Infected,Screening 50%
142,3.0,0.0251,Infected,Screening 50%
143,4.0,0.0503,Infected,Screening 50%
144,5.0,0.0553,Infected,Screening 50%
145,6.0,0.0653,Infected,Screening 50%
146,7.0,0.1055,Infected,Screening 50%
147,8.0,0.1206,Infected,Screening 50%
148,9.0,0.1558,Infected,Screening 50%
149,10.0,0.1457,Infected,Screening 50%
150,11.0,0.1608,Infected,Screening 50%
151,12.0,0.191,Infected,Screening 50%
152,13.0,0.2764,Infected,Screening 50%
153,14.0,0.3216,Infected,Screening 50%
154,15.0,0.3266,Infected,Screening 50%
155,16.0,0.3668,Infected,Screening 50%
156,17.0,0.3015,Infected,Screening 50%
157,18.0,0.3719,Infected,Screening 50%
158,19.0,0.3367,Infected,Screening 50%
159,20.0,0.4573,Infected,Screening 50%
