,day,agents,type,type_of_screening_pretty,group
0,0.0,240.0,Susceptible,Screening 25%,Susceptible
1,1.0,237.8692,Susceptible,Screening 25%,Susceptible
2,2.0,236.7571,Susceptible,Screening 25%,Susceptible
3,3.0,235.4047,Susceptible,Screening 25%,Susceptible
4,4.0,234.1408,Susceptible,Screening 25%,Susceptible
5,5.0,232.7344,Susceptible,Screening 25%,Susceptible
6,6.0,232.7344,Susceptible,Screening 25%,Susceptible
7,7.0,232.7344,Susceptible,Screening 25%,Susceptible
8,8.0,230.692,Susceptible,Screening 25%,Susceptible
9,9.0,228.6727,Susceptible,Screening 25%,Susceptible
10,10.0,226.5566,Susceptible,Screening 25%,Susceptible
11,11.0,225.1285,Susceptible,Screening 25%,Susceptible
12,12.0,223.6343,Susceptible,Screening 25%,Susceptible
13,13.0,223.6343,Susceptible,Screening 25%,Susceptible
14,14.0,223.6343,Susceptible,Screening 25%,Susceptible
15,15.0,221.7731,Susceptible,Screening 25%,Susceptible
16,16.0,220.2105,Susceptible,Screening 25%,Susceptible
17,17.0,218.698,Susceptible,Screening 25%,Susceptible
18,18.0,217.3553,Susceptible,Screening 25%,Susceptible
19,19.0,216.0447,Susceptible,Screening 25%,Susceptible
20,20.0,216.0447,Susceptible,Screening 25%,Susceptible
21,21.0,216.0447,Susceptible,Screening 25%,Susceptible
22,22.0,214.5642,Susceptible,Screening 25%,Susceptible
23,23.0,213.2679,Susceptible,Screening 25%,Susceptible
24,24.0,212.024,Susceptible,Screening 25%,Susceptible
25,25.0,210.6607,Susceptible,Screening 25%,Susceptible
26,26.0,209.3493,Susceptible,Screening 25%,Susceptible
27,27.0,209.3493,Susceptible,Screening 25%,Susceptible
28,28.0,209.3493,Susceptible,Screening 25%,Susceptible
29,29.0,207.9693,Susceptible,Screening 25%,Susceptible
30,30.0,206.6587,Susceptible,Screening 25%,Susceptible
31,31.0,205.4891,Susceptible,Screening 25%,Susceptible
32,32.0,204.2539,Susceptible,Screening 25%,Susceptible
33,33.0,202.8825,Susceptible,Screening 25%,Susceptible
34,34.0,202.8825,Susceptible,Screening 25%,Susceptible
35,35.0,202.8825,Susceptible,Screening 25%,Susceptible
36,0.0,0.0,Susceptible in quarantine,Screening 25%,Susceptible
37,1.0,0.3487,Susceptible in quarantine,Screening 25%,Susceptible
38,2.0,0.6657,Susceptible in quarantine,Screening 25%,Susceptible
39,3.0,1.1842,Susceptible in quarantine,Screening 25%,Susceptible
40,4.0,1.31,Susceptible in quarantine,Screening 25%,Susceptible
41,5.0,1.4624,Susceptible in quarantine,Screening 25%,Susceptible
