,day,values,values_type,type,type_pretty,vaccine_efficacy,prevalence
59,0.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
60,1.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
61,2.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
62,3.0,1.4049571428571384,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
63,4.0,1.9248500000000002,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
64,5.0,2.988264285714288,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
65,6.0,4.501435714285711,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
66,7.0,6.3950857142857105,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
67,8.0,8.591042857142854,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
68,9.0,10.561978571428568,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
69,10.0,11.964500000000003,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
70,11.0,13.38949285714286,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
71,12.0,14.922414285714286,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
72,13.0,16.059542857142855,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
73,14.0,16.623671428571427,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
74,15.0,16.570292857142853,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
75,16.0,16.265107142857143,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
76,17.0,16.033785714285713,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
77,18.0,15.394649999999995,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
78,19.0,14.11307857142857,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
79,20.0,12.530921428571427,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
80,21.0,10.822071428571427,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
81,22.0,9.091742857142856,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
82,23.0,7.628678571428571,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
83,24.0,6.595471428571426,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
84,25.0,5.6163714285714255,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
85,26.0,4.563271428571426,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
86,27.0,3.6421428571428534,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
87,28.0,2.8946500000000004,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
88,29.0,2.2818571428571444,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
89,30.0,1.8030428571428556,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
90,31.0,1.45977857142857,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
91,32.0,1.195535714285715,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
92,33.0,0.9753857142857173,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
93,34.0,0.7880071428571438,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
94,35.0,0.6285428571428529,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
95,36.0,0.4971357142857105,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
96,37.0,0.397357142857142,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
97,38.0,0.33037142857142904,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
98,39.0,0.2696857142857141,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
99,40.0,0.21142142857142485,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
100,41.0,0.16461428571428527,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
101,42.0,0.12138571428572018,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low
