,day,cumulative_infected,type,type_pretty
0,1.0,0.0,Total infected,0%
1,2.0,0.0005049999999999481,Total infected,0%
2,3.0,0.0015574999999999524,Total infected,0%
3,4.0,0.003030416666666724,Total infected,0%
4,5.0,0.005471666666666645,Total infected,0%
5,6.0,0.009133333333333363,Total infected,0%
6,7.0,0.012205416666666717,Total infected,0%
7,8.0,0.014772916666666684,Total infected,0%
8,9.0,0.018729166666666686,Total infected,0%
9,10.0,0.02420041666666677,Total infected,0%
10,11.0,0.031691666666666764,Total infected,0%
11,12.0,0.04145625,Total infected,0%
12,13.0,0.05340874999999994,Total infected,0%
13,14.0,0.061616249999999914,Total infected,0%
14,15.0,0.06822333333333314,Total infected,0%
15,16.0,0.0766412499999999,Total infected,0%
16,17.0,0.08703666666666657,Total infected,0%
17,18.0,0.09983166666666664,Total infected,0%
18,19.0,0.1163304166666664,Total infected,0%
19,20.0,0.13501666666666665,Total infected,0%
20,21.0,0.14945291666666663,Total infected,0%
21,22.0,0.15993250000000003,Total infected,0%
22,23.0,0.17041291666666644,Total infected,0%
23,24.0,0.18244958333333325,Total infected,0%
24,25.0,0.19520166666666666,Total infected,0%
25,26.0,0.210395,Total infected,0%
26,27.0,0.22701958333333347,Total infected,0%
27,28.0,0.2371629166666666,Total infected,0%
28,29.0,0.24608624999999998,Total infected,0%
29,30.0,0.2544608333333334,Total infected,0%
30,31.0,0.26481499999999997,Total infected,0%
31,32.0,0.2757995833333335,Total infected,0%
32,33.0,0.28821541666666683,Total infected,0%
33,34.0,0.3037458333333333,Total infected,0%
34,35.0,0.31468874999999996,Total infected,0%
35,36.0,0.3236954166666667,Total infected,0%
36,37.0,0.3315658333333335,Total infected,0%
37,38.0,0.34031999999999996,Total infected,0%
38,39.0,0.3503787500000001,Total infected,0%
39,40.0,0.36359458333333344,Total infected,0%
40,41.0,0.3770629166666667,Total infected,0%
41,42.0,0.3878370833333334,Total infected,0%
42,43.0,0.39461291666666676,Total infected,0%
43,44.0,0.40223083333333315,Total infected,0%
44,45.0,0.40917583333333324,Total infected,0%
45,46.0,0.41725624999999994,Total infected,0%
46,47.0,0.42550541666666675,Total infected,0%
47,48.0,0.4359008333333333,Total infected,0%
48,49.0,0.4423820833333333,Total infected,0%
49,50.0,0.44743291666666674,Total infected,0%
50,51.0,0.45176750000000004,Total infected,0%
51,52.0,0.45643958333333334,Total infected,0%
52,53.0,0.46258416666666663,Total infected,0%
53,54.0,0.4694020833333333,Total infected,0%
54,55.0,0.47710416666666666,Total infected,0%
55,56.0,0.4830387499999999,Total infected,0%
56,57.0,0.48749999999999993,Total infected,0%
57,58.0,0.4914141666666667,Total infected,0%
58,59.0,0.4962120833333333,Total infected,0%
59,60.0,0.5022725,Total infected,0%
60,1.0,0.0,Total infected,10%
61,2.0,0.0004675925925925884,Total infected,10%
62,3.0,0.0012157407407407035,Total infected,10%
63,4.0,0.0025250000000000034,Total infected,10%
64,5.0,0.004723148148148094,Total infected,10%
65,6.0,0.009633333333333383,Total infected,10%
66,7.0,0.012626388888888953,Total infected,10%
67,8.0,0.014683796296296368,Total infected,10%
68,9.0,0.01851851851851865,Total infected,10%
