,day,values,values_type,type,type_pretty
0,0.0,1.3506999999999607,slope,Total infected derivative spline,0%
1,1.0,2.175299999999993,slope,Total infected derivative spline,0%
2,2.0,4.150300000000016,slope,Total infected derivative spline,0%
3,3.0,6.974050000000034,slope,Total infected derivative spline,0%
4,4.0,10.502999999999986,slope,Total infected derivative spline,0%
5,5.0,11.077099999999987,slope,Total infected derivative spline,0%
6,6.0,8.891800000000032,slope,Total infected derivative spline,0%
7,7.0,8.76149999999997,slope,Total infected derivative spline,0%
8,8.0,10.313549999999978,slope,Total infected derivative spline,0%
9,9.0,11.573250000000002,slope,Total infected derivative spline,0%
10,10.0,12.248550000000023,slope,Total infected derivative spline,0%
11,11.0,12.531950000000009,slope,Total infected derivative spline,0%
12,12.0,10.767549999999986,slope,Total infected derivative spline,0%
13,13.0,7.835650000000001,slope,Total infected derivative spline,0%
14,14.0,6.165350000000004,slope,Total infected derivative spline,0%
15,15.0,5.072200000000009,slope,Total infected derivative spline,0%
16,16.0,4.162300000000002,slope,Total infected derivative spline,0%
17,17.0,3.3817999999999984,slope,Total infected derivative spline,0%
18,18.0,2.707499999999996,slope,Total infected derivative spline,0%
19,19.0,2.119249999999994,slope,Total infected derivative spline,0%
20,20.0,1.6061499999999995,slope,Total infected derivative spline,0%
21,21.0,1.3958000000000084,slope,Total infected derivative spline,0%
22,22.0,1.4568999999999903,slope,Total infected derivative spline,0%
23,23.0,1.6572999999999922,slope,Total infected derivative spline,0%
24,24.0,1.9689500000000066,slope,Total infected derivative spline,0%
25,25.0,2.4047999999999945,slope,Total infected derivative spline,0%
26,26.0,2.4268500000000017,slope,Total infected derivative spline,0%
27,27.0,2.0661500000000075,slope,Total infected derivative spline,0%
28,28.0,2.201449999999994,slope,Total infected derivative spline,0%
29,29.0,2.690349999999995,slope,Total infected derivative spline,0%
30,30.0,3.1302500000000038,slope,Total infected derivative spline,0%
31,31.0,3.536050000000003,slope,Total infected derivative spline,0%
32,32.0,3.8957499999999925,slope,Total infected derivative spline,0%
33,33.0,3.662400000000005,slope,Total infected derivative spline,0%
34,34.0,2.8736999999999995,slope,Total infected derivative spline,0%
