,day,slope,type,type_pretty
0,0.0,0.06020000000000891,Total infected derivative,0%
1,1.0,0.11725000000001273,Total infected derivative,0%
2,2.0,0.22239999999999327,Total infected derivative,0%
3,3.0,0.4047499999999786,Total infected derivative,0%
4,4.0,0.6843999999999824,Total infected derivative,0%
5,5.0,0.7485500000000229,Total infected derivative,0%
6,6.0,0.5711000000000013,Total infected derivative,0%
7,7.0,0.6712499999999864,Total infected derivative,0%
8,8.0,1.0681000000000154,Total infected derivative,0%
9,9.0,1.48599999999999,Total infected derivative,0%
10,10.0,1.9589499999999873,Total infected derivative,0%
11,11.0,2.487950000000012,Total infected derivative,0%
12,12.0,2.4248500000000206,Total infected derivative,0%
13,13.0,1.82974999999999,Total infected derivative,0%
14,14.0,1.7314999999999827,Total infected derivative,0%
15,15.0,2.022999999999996,Total infected derivative,0%
16,16.0,2.467950000000002,Total infected derivative,0%
17,17.0,3.0220999999999947,Total infected derivative,0%
18,18.0,3.514050000000026,Total infected derivative,0%
19,19.0,3.321649999999977,Total infected derivative,0%
20,20.0,2.490949999999984,Total infected derivative,0%
21,21.0,2.1853500000000565,Total infected derivative,0%
22,22.0,2.420900000000003,Total infected derivative,0%
23,23.0,2.8607999999999834,Total infected derivative,0%
24,24.0,3.2944999999999993,Total infected derivative,0%
25,25.0,3.6993500000000097,Total infected derivative,0%
26,26.0,3.4078499999999963,Total infected derivative,0%
27,27.0,2.4680000000000035,Total infected derivative,0%
28,28.0,2.1022500000000264,Total infected derivative,0%
29,29.0,2.212299999999985,Total infected derivative,0%
30,30.0,2.4808499999999896,Total infected derivative,0%
31,31.0,2.7977000000000203,Total infected derivative,0%
32,32.0,3.1093000000000046,Total infected derivative,0%
33,33.0,2.8285499999999786,Total infected derivative,0%
34,34.0,2.042999999999978,Total infected derivative,0%
35,35.0,1.7144499999999994,Total infected derivative,0%
36,36.0,1.8357000000000028,Total infected derivative,0%
37,37.0,2.0351,Total infected derivative,0%
38,38.0,2.246549999999999,Total infected derivative,0%
39,39.0,2.508999999999986,Total infected derivative,0%
40,40.0,2.321649999999991,Total infected derivative,0%
41,41.0,1.6803500000000184,Total infected derivative,0%
42,42.0,1.3757500000000107,Total infected derivative,0%
43,43.0,1.443950000000001,Total infected derivative,0%
44,44.0,1.598099999999988,Total infected derivative,0%
45,45.0,1.772449999999992,Total infected derivative,0%
46,46.0,2.050150000000002,Total infected derivative,0%
47,47.0,1.8718000000000217,Total infected derivative,0%
48,48.0,1.368700000000004,Total infected derivative,0%
49,49.0,1.3075999999999794,Total infected derivative,0%
50,50.0,1.3878000000000128,Total infected derivative,0%
51,51.0,1.4689499999999924,Total infected derivative,0%
52,52.0,1.6312499999999943,Total infected derivative,0%
53,53.0,1.8567000000000178,Total infected derivative,0%
54,54.0,1.6533000000000158,Total infected derivative,0%
55,55.0,1.2224999999999824,Total infected derivative,0%
56,56.0,1.1282999999999674,Total infected derivative,0%
57,57.0,1.131200000000021,Total infected derivative,0%
58,58.0,1.2144500000000136,Total infected derivative,0%
59,59.0,1.3126999999999782,Total infected derivative,0%
60,60.0,,Total infected derivative,0%
61,0.0,0.07220000000000937,Total infected derivative,10%
