,day,cumulative_infected,type,type_of_screening_pretty
0,1.0,0.0,Total infected,Without screening
1,2.0,0.015099999999989677,Total infected,Without screening
2,3.0,0.028999999999996362,Total infected,Without screening
3,4.0,0.054099999999976944,Total infected,Without screening
4,5.0,0.07900000000000773,Total infected,Without screening
5,6.0,0.11320000000000618,Total infected,Without screening
6,7.0,0.15319999999999823,Total infected,Without screening
7,8.0,0.19020000000000437,Total infected,Without screening
8,9.0,0.25620000000000687,Total infected,Without screening
9,10.0,0.34039999999995985,Total infected,Without screening
10,11.0,0.4864000000000033,Total infected,Without screening
11,12.0,0.6256999999999948,Total infected,Without screening
12,13.0,0.801900000000046,Total infected,Without screening
13,14.0,0.9488999999999805,Total infected,Without screening
14,15.0,1.052000000000021,Total infected,Without screening
15,16.0,1.2231999999999914,Total infected,Without screening
16,17.0,1.4445000000000334,Total infected,Without screening
17,18.0,1.703800000000001,Total infected,Without screening
18,19.0,1.9819999999999993,Total infected,Without screening
19,20.0,2.3144000000000062,Total infected,Without screening
20,21.0,2.5855999999999995,Total infected,Without screening
21,22.0,2.764800000000008,Total infected,Without screening
22,23.0,3.038099999999986,Total infected,Without screening
23,24.0,3.374300000000005,Total infected,Without screening
24,25.0,3.7567999999999984,Total infected,Without screening
25,26.0,4.139199999999988,Total infected,Without screening
26,27.0,4.602699999999999,Total infected,Without screening
27,28.0,4.974000000000018,Total infected,Without screening
28,29.0,5.226200000000006,Total infected,Without screening
29,30.0,5.61269999999999,Total infected,Without screening
30,31.0,6.1162000000000205,Total infected,Without screening
31,32.0,6.711600000000004,Total infected,Without screening
32,33.0,7.317200000000014,Total infected,Without screening
33,34.0,8.007000000000033,Total infected,Without screening
34,35.0,8.488399999999984,Total infected,Without screening
35,1.0,0.0,Total infected,Screening 25%
36,2.0,0.005000000000023874,Total infected,Screening 25%
37,3.0,0.030100000000004457,Total infected,Screening 25%
38,4.0,0.04019999999999868,Total infected,Screening 25%
39,5.0,0.07529999999999859,Total infected,Screening 25%
40,6.0,0.12060000000002447,Total infected,Screening 25%
41,7.0,0.16579999999999018,Total infected,Screening 25%
42,8.0,0.21610000000003993,Total infected,Screening 25%
43,9.0,0.30150000000003274,Total infected,Screening 25%
44,10.0,0.42199999999999704,Total infected,Screening 25%
45,11.0,0.5929000000000144,Total infected,Screening 25%
46,12.0,0.7688000000000272,Total infected,Screening 25%
47,13.0,1.0401000000000238,Total infected,Screening 25%
48,14.0,1.2412000000000205,Total infected,Screening 25%
49,15.0,1.331700000000012,Total infected,Screening 25%
50,16.0,1.5024000000000228,Total infected,Screening 25%
51,17.0,1.7135000000000105,Total infected,Screening 25%
52,18.0,1.9547000000000025,Total infected,Screening 25%
53,19.0,2.2461999999999875,Total infected,Screening 25%
54,20.0,2.5477000000000203,Total infected,Screening 25%
55,21.0,2.783799999999985,Total infected,Screening 25%
56,22.0,2.9647999999999683,Total infected,Screening 25%
57,23.0,3.2663000000000295,Total infected,Screening 25%
58,24.0,3.5327000000000055,Total infected,Screening 25%
59,25.0,3.9898999999999774,Total infected,Screening 25%
60,26.0,4.482300000000009,Total infected,Screening 25%
61,27.0,4.954699999999974,Total infected,Screening 25%
62,28.0,5.2561999999999784,Total infected,Screening 25%
63,29.0,5.58269999999996,Total infected,Screening 25%
64,30.0,5.994900000000001,Total infected,Screening 25%
65,31.0,6.3767,Total infected,Screening 25%
66,32.0,6.899399999999986,Total infected,Screening 25%
67,33.0,7.517599999999987,Total infected,Screening 25%
68,34.0,8.044999999999987,Total infected,Screening 25%
69,35.0,8.477300000000014,Total infected,Screening 25%
70,1.0,0.0,Total infected,Screening 50%
71,2.0,0.014999999999986358,Total infected,Screening 50%
72,3.0,0.03509999999999991,Total infected,Screening 50%
73,4.0,0.06029999999998381,Total infected,Screening 50%
74,5.0,0.09040000000001669,Total infected,Screening 50%
75,6.0,0.13059999999998695,Total infected,Screening 50%
76,7.0,0.19089999999999918,Total infected,Screening 50%
77,8.0,0.22109999999997854,Total infected,Screening 50%
78,9.0,0.2763999999999953,Total infected,Screening 50%
79,10.0,0.36179999999998813,Total infected,Screening 50%
80,11.0,0.4270999999999958,Total infected,Screening 50%
81,12.0,0.5728000000000009,Total infected,Screening 50%
82,13.0,0.7687999999999988,Total infected,Screening 50%
83,14.0,0.8693000000000097,Total infected,Screening 50%
84,15.0,0.9346000000000458,Total infected,Screening 50%
85,16.0,1.0301000000000045,Total infected,Screening 50%
86,17.0,1.1505999999999688,Total infected,Screening 50%
87,18.0,1.3415999999999713,Total infected,Screening 50%
88,19.0,1.5828999999999667,Total infected,Screening 50%
89,20.0,1.8741999999999734,Total infected,Screening 50%
90,21.0,2.0801999999999907,Total infected,Screening 50%
91,22.0,2.2662999999999727,Total infected,Screening 50%
92,23.0,2.4219999999999686,Total infected,Screening 50%
93,24.0,2.6732000000000085,Total infected,Screening 50%
94,25.0,2.994799999999998,Total infected,Screening 50%
95,26.0,3.401999999999987,Total infected,Screening 50%
96,27.0,3.83420000000001,Total infected,Screening 50%
97,28.0,4.185900000000032,Total infected,Screening 50%
98,29.0,4.3971000000000515,Total infected,Screening 50%
99,30.0,4.618099999999998,Total infected,Screening 50%
100,31.0,4.9447999999999865,Total infected,Screening 50%
101,32.0,5.231099999999998,Total infected,Screening 50%
102,33.0,5.643100000000004,Total infected,Screening 50%
103,34.0,6.155799999999971,Total infected,Screening 50%
104,35.0,6.507499999999993,Total infected,Screening 50%
105,1.0,0.0,Total infected,Screening 100%
106,2.0,0.009999999999990905,Total infected,Screening 100%
107,3.0,0.015099999999989677,Total infected,Screening 100%
108,4.0,0.030199999999979354,Total infected,Screening 100%
109,5.0,0.045199999999994134,Total infected,Screening 100%
110,6.0,0.08039999999999736,Total infected,Screening 100%
111,7.0,0.12059999999999604,Total infected,Screening 100%
112,8.0,0.16070000000001983,Total infected,Screening 100%
113,9.0,0.2562000000000353,Total infected,Screening 100%
114,10.0,0.361800000000045,Total infected,Screening 100%
115,11.0,0.4573000000000036,Total infected,Screening 100%
116,12.0,0.5829999999999984,Total infected,Screening 100%
117,13.0,0.7287000000000035,Total infected,Screening 100%
118,14.0,0.8089999999999975,Total infected,Screening 100%
119,15.0,0.9145000000000323,Total infected,Screening 100%
120,16.0,1.050200000000018,Total infected,Screening 100%
121,17.0,1.216099999999983,Total infected,Screening 100%
122,18.0,1.4622000000000241,Total infected,Screening 100%
123,19.0,1.6683000000000447,Total infected,Screening 100%
124,20.0,1.9496000000000038,Total infected,Screening 100%
125,21.0,2.1758000000000095,Total infected,Screening 100%
126,22.0,2.386799999999994,Total infected,Screening 100%
127,23.0,2.562699999999978,Total infected,Screening 100%
128,24.0,2.7385999999999626,Total infected,Screening 100%
129,25.0,2.9245999999999697,Total infected,Screening 100%
130,26.0,3.2562999999999818,Total infected,Screening 100%
131,27.0,3.5124999999999886,Total infected,Screening 100%
132,28.0,3.6983999999999924,Total infected,Screening 100%
133,29.0,3.8894000000000233,Total infected,Screening 100%
134,30.0,4.060300000000041,Total infected,Screening 100%
135,31.0,4.216200000000015,Total infected,Screening 100%
136,32.0,4.427200000000028,Total infected,Screening 100%
137,33.0,4.623099999999994,Total infected,Screening 100%
138,34.0,4.884399999999999,Total infected,Screening 100%
139,35.0,5.0955000000000155,Total infected,Screening 100%
