,day,cumulative_infected,type,type_pretty
0,1.0,0.0,Total infected,0%
1,2.0,1.4288999999999987,Total infected,0%
2,3.0,6.747500000000002,Total infected,0%
3,4.0,18.524900000000002,Total infected,0%
4,5.0,37.891699999999986,Total infected,0%
5,6.0,62.04599999999999,Total infected,0%
6,7.0,79.84169999999997,Total infected,0%
7,8.0,93.60329999999999,Total infected,0%
8,9.0,109.89999999999998,Total infected,0%
9,10.0,127.7955,Total infected,0%
10,11.0,145.2785,Total infected,0%
11,12.0,160.84359999999998,Total infected,0%
12,13.0,174.08020000000002,Total infected,0%
13,14.0,183.5229,Total infected,0%
14,15.0,190.54500000000002,Total infected,0%
15,16.0,196.2105,Total infected,0%
16,17.0,201.02609999999999,Total infected,0%
17,18.0,204.6593,Total infected,0%
18,19.0,207.6433,Total infected,0%
19,20.0,210.1904,Total infected,0%
20,21.0,212.01,Total infected,0%
21,22.0,213.2866,Total infected,0%
22,23.0,214.6674,Total infected,0%
23,24.0,216.1203,Total infected,0%
24,25.0,217.6653,Total infected,0%
25,26.0,219.2765,Total infected,0%
26,27.0,220.8616,Total infected,0%
27,28.0,222.0401,Total infected,0%
28,29.0,223.014,Total infected,0%
29,30.0,224.1183,Total infected,0%
30,31.0,225.2465,Total infected,0%
31,32.0,226.3928,Total infected,0%
32,33.0,227.5652,Total infected,0%
33,34.0,228.6173,Total infected,0%
34,35.0,229.4269,Total infected,0%
35,36.0,230.0743,Total infected,0%
36,37.0,230.82569999999998,Total infected,0%
37,38.0,231.44490000000002,Total infected,0%
38,39.0,232.1184,Total infected,0%
39,40.0,232.7937,Total infected,0%
40,41.0,233.3889,Total infected,0%
41,42.0,233.82760000000002,Total infected,0%
42,43.0,234.1624,Total infected,0%
43,44.0,234.46699999999998,Total infected,0%
44,45.0,234.8136,Total infected,0%
45,46.0,235.11419999999998,Total infected,0%
46,47.0,235.4228,Total infected,0%
47,48.0,235.6573,Total infected,0%
48,49.0,235.9178,Total infected,0%
49,50.0,236.1242,Total infected,0%
50,51.0,236.2865,Total infected,0%
51,52.0,236.4689,Total infected,0%
52,53.0,236.6153,Total infected,0%
53,54.0,236.8096,Total infected,0%
54,55.0,237.008,Total infected,0%
55,56.0,237.1603,Total infected,0%
56,57.0,237.2546,Total infected,0%
57,58.0,237.35070000000002,Total infected,0%
58,59.0,237.483,Total infected,0%
59,60.0,237.5952,Total infected,0%
60,1.0,0.0,Total infected,10%
61,2.0,1.27049999999997,Total infected,10%
62,3.0,5.895800000000065,Total infected,10%
63,4.0,15.923800000000028,Total infected,10%
64,5.0,32.13639999999998,Total infected,10%
65,6.0,52.743499999999955,Total infected,10%
66,7.0,68.09639999999996,Total infected,10%
67,8.0,79.83360000000002,Total infected,10%
68,9.0,93.80339999999995,Total infected,10%
69,10.0,109.5712,Total infected,10%
70,11.0,125.40280000000001,Total infected,10%
71,12.0,139.90179999999998,Total infected,10%
72,13.0,152.64330000000004,Total infected,10%
73,14.0,161.68540000000002,Total infected,10%
74,15.0,168.22230000000002,Total infected,10%
75,16.0,173.8579,Total infected,10%
76,17.0,178.7294,Total infected,10%
77,18.0,182.5813,Total infected,10%
78,19.0,185.6954,Total infected,10%
79,20.0,188.397,Total infected,10%
80,21.0,190.30270000000002,Total infected,10%
81,22.0,191.6513,Total infected,10%
82,23.0,192.96999999999997,Total infected,10%
83,24.0,194.35290000000003,Total infected,10%
84,25.0,195.6193,Total infected,10%
85,26.0,197.0621,Total infected,10%
86,27.0,198.435,Total infected,10%
87,28.0,199.49689999999998,Total infected,10%
88,29.0,200.2203,Total infected,10%
