,day,agents,type,type_of_screening_pretty
0,1.0,0.99,Infected,Without screening
1,2.0,1.0521,Infected,Without screening
2,3.0,1.2743,Infected,Without screening
3,4.0,1.5946,Infected,Without screening
4,5.0,1.988,Infected,Without screening
5,6.0,2.4114,Infected,Without screening
6,7.0,2.5275,Infected,Without screening
7,8.0,2.5475,Infected,Without screening
8,9.0,2.7838,Infected,Without screening
9,10.0,3.2062,Infected,Without screening
10,11.0,3.6246,Infected,Without screening
11,12.0,3.9149,Infected,Without screening
12,13.0,4.1992,Infected,Without screening
13,14.0,4.2132,Infected,Without screening
14,15.0,3.8539,Infected,Without screening
15,16.0,3.9249,Infected,Without screening
16,17.0,3.976,Infected,Without screening
17,18.0,4.004,Infected,Without screening
18,19.0,4.1802,Infected,Without screening
19,20.0,4.3804,Infected,Without screening
20,21.0,4.2953,Infected,Without screening
21,22.0,3.954,Infected,Without screening
22,23.0,4.013,Infected,Without screening
23,24.0,4.0651,Infected,Without screening
24,25.0,4.2422,Infected,Without screening
25,26.0,4.4885,Infected,Without screening
26,27.0,4.6216,Infected,Without screening
27,28.0,4.3654,Infected,Without screening
28,29.0,4.009,Infected,Without screening
29,30.0,3.959,Infected,Without screening
30,31.0,4.0931,Infected,Without screening
31,32.0,4.2172,Infected,Without screening
32,33.0,4.2673,Infected,Without screening
33,34.0,4.4104,Infected,Without screening
34,35.0,4.1952,Infected,Without screening
35,1.0,0.01,Infected in quarantine,Without screening
36,2.0,0.027,Infected in quarantine,Without screening
37,3.0,0.06,Infected in quarantine,Without screening
38,4.0,0.0991,Infected in quarantine,Without screening
39,5.0,0.1592,Infected in quarantine,Without screening
40,6.0,0.2612,Infected in quarantine,Without screening
41,7.0,0.4034,Infected in quarantine,Without screening
42,8.0,0.4645,Infected in quarantine,Without screening
43,9.0,0.5766,Infected in quarantine,Without screening
44,10.0,0.6496,Infected in quarantine,Without screening
45,11.0,0.7837,Infected in quarantine,Without screening
46,12.0,1.0891,Infected in quarantine,Without screening
47,13.0,1.2783,Infected in quarantine,Without screening
48,14.0,1.4245,Infected in quarantine,Without screening
49,15.0,1.5916,Infected in quarantine,Without screening
50,16.0,1.6456,Infected in quarantine,Without screening
51,17.0,1.8238,Infected in quarantine,Without screening
52,18.0,1.9569,Infected in quarantine,Without screening
53,19.0,2.0401,Infected in quarantine,Without screening
54,20.0,2.1681999999999997,Infected in quarantine,Without screening
55,21.0,2.1761999999999997,Infected in quarantine,Without screening
56,22.0,2.2682,Infected in quarantine,Without screening
57,23.0,2.1732,Infected in quarantine,Without screening
58,24.0,2.1862,Infected in quarantine,Without screening
59,25.0,2.1942,Infected in quarantine,Without screening
60,26.0,2.2122,Infected in quarantine,Without screening
61,27.0,2.1921999999999997,Infected in quarantine,Without screening
62,28.0,2.2963,Infected in quarantine,Without screening
63,29.0,2.2643,Infected in quarantine,Without screening
64,30.0,2.2082,Infected in quarantine,Without screening
65,31.0,2.1281,Infected in quarantine,Without screening
66,32.0,2.0801,Infected in quarantine,Without screening
67,33.0,2.1250999999999998,Infected in quarantine,Without screening
68,34.0,2.0601,Infected in quarantine,Without screening
69,35.0,2.1171,Infected in quarantine,Without screening
70,1.0,0.9648,Infected,Screening 25%
71,2.0,0.995,Infected,Screening 25%
72,3.0,1.1139,Infected,Screening 25%
73,4.0,1.4271,Infected,Screening 25%
