,day,cumulative_infected,type,type_of_screening_pretty
0,1.0,0.0,Total infected,Without screening
1,2.0,0.015099999999989677,Total infected,Without screening
2,3.0,0.028999999999996362,Total infected,Without screening
3,4.0,0.054099999999976944,Total infected,Without screening
4,5.0,0.07900000000000773,Total infected,Without screening
5,6.0,0.11320000000000618,Total infected,Without screening
6,7.0,0.15319999999999823,Total infected,Without screening
7,8.0,0.19020000000000437,Total infected,Without screening
8,9.0,0.25620000000000687,Total infected,Without screening
9,10.0,0.34039999999995985,Total infected,Without screening
10,11.0,0.4864000000000033,Total infected,Without screening
11,12.0,0.6256999999999948,Total infected,Without screening
12,13.0,0.801900000000046,Total infected,Without screening
13,14.0,0.9488999999999805,Total infected,Without screening
14,15.0,1.052000000000021,Total infected,Without screening
15,16.0,1.2231999999999914,Total infected,Without screening
16,17.0,1.4445000000000334,Total infected,Without screening
17,18.0,1.703800000000001,Total infected,Without screening
18,19.0,1.9819999999999993,Total infected,Without screening
19,20.0,2.3144000000000062,Total infected,Without screening
20,21.0,2.5855999999999995,Total infected,Without screening
21,22.0,2.764800000000008,Total infected,Without screening
22,23.0,3.038099999999986,Total infected,Without screening
23,24.0,3.374300000000005,Total infected,Without screening
24,25.0,3.7577,Total infected,Without screening
25,26.0,4.1422000000000025,Total infected,Without screening
26,27.0,4.605699999999985,Total infected,Without screening
27,28.0,4.977000000000032,Total infected,Without screening
28,29.0,5.229199999999992,Total infected,Without screening
29,30.0,5.6156999999999755,Total infected,Without screening
30,31.0,6.120200000000011,Total infected,Without screening
31,32.0,6.716599999999971,Total infected,Without screening
32,33.0,7.324200000000019,Total infected,Without screening
33,34.0,8.01400000000001,Total infected,Without screening
34,35.0,8.49739999999997,Total infected,Without screening
35,1.0,0.0,Total infected,Screening 25%
36,2.0,0.010099999999994225,Total infected,Screening 25%
37,3.0,0.02010000000001355,Total infected,Screening 25%
38,4.0,0.03509999999999991,Total infected,Screening 25%
39,5.0,0.08330000000003679,Total infected,Screening 25%
40,6.0,0.14360000000004902,Total infected,Screening 25%
41,7.0,0.16470000000003893,Total infected,Screening 25%
42,8.0,0.18890000000004648,Total infected,Screening 25%
43,9.0,0.24320000000000164,Total infected,Screening 25%
44,10.0,0.29340000000001965,Total infected,Screening 25%
45,11.0,0.38689999999999714,Total infected,Screening 25%
46,12.0,0.45820000000003347,Total infected,Screening 25%
47,13.0,0.5418000000000234,Total infected,Screening 25%
48,14.0,0.6211000000000411,Total infected,Screening 25%
49,15.0,0.7164999999999679,Total infected,Screening 25%
50,16.0,0.8079999999999643,Total infected,Screening 25%
51,17.0,0.9466999999999928,Total infected,Screening 25%
52,18.0,1.0330999999999904,Total infected,Screening 25%
53,19.0,1.1717000000000155,Total infected,Screening 25%
54,20.0,1.3032999999999788,Total infected,Screening 25%
55,21.0,1.440100000000001,Total infected,Screening 25%
56,22.0,1.476399999999984,Total infected,Screening 25%
57,23.0,1.5938999999999623,Total infected,Screening 25%
58,24.0,1.7768000000000086,Total infected,Screening 25%
59,25.0,1.9728999999999814,Total infected,Screening 25%
60,26.0,2.1888999999999896,Total infected,Screening 25%
61,27.0,2.390899999999988,Total infected,Screening 25%
62,28.0,2.56880000000001,Total infected,Screening 25%
63,29.0,2.678499999999957,Total infected,Screening 25%
64,30.0,2.851300000000009,Total infected,Screening 25%
65,31.0,3.056299999999993,Total infected,Screening 25%
66,32.0,3.278400000000005,Total infected,Screening 25%
67,33.0,3.573699999999974,Total infected,Screening 25%
68,34.0,3.8179999999999836,Total infected,Screening 25%
69,35.0,4.020099999999957,Total infected,Screening 25%
70,1.0,0.0,Total infected,Screening 50%
71,2.0,0.0,Total infected,Screening 50%
72,3.0,0.02010000000001355,Total infected,Screening 50%
73,4.0,0.02909999999999968,Total infected,Screening 50%
74,5.0,0.07240000000001601,Total infected,Screening 50%
75,6.0,0.11250000000001137,Total infected,Screening 50%
76,7.0,0.14169999999998595,Total infected,Screening 50%
77,8.0,0.1758000000000095,Total infected,Screening 50%
78,9.0,0.21000000000000796,Total infected,Screening 50%
79,10.0,0.2855000000000132,Total infected,Screening 50%
80,11.0,0.36779999999998836,Total infected,Screening 50%
81,12.0,0.4462000000000046,Total infected,Screening 50%
82,13.0,0.5416000000000167,Total infected,Screening 50%
83,14.0,0.6261000000000365,Total infected,Screening 50%
84,15.0,0.6984999999999957,Total infected,Screening 50%
85,16.0,0.8039999999999736,Total infected,Screening 50%
86,17.0,0.9248000000000047,Total infected,Screening 50%
87,18.0,1.0895000000000152,Total infected,Screening 50%
88,19.0,1.2149000000000285,Total infected,Screening 50%
89,20.0,1.4209000000000458,Total infected,Screening 50%
90,21.0,1.5356000000000165,Total infected,Screening 50%
91,22.0,1.6281999999999925,Total infected,Screening 50%
92,23.0,1.7690000000000055,Total infected,Screening 50%
93,24.0,1.899599999999964,Total infected,Screening 50%
94,25.0,2.0562999999999647,Total infected,Screening 50%
95,26.0,2.2181999999999675,Total infected,Screening 50%
96,27.0,2.36779999999996,Total infected,Screening 50%
97,28.0,2.4470999999999776,Total infected,Screening 50%
98,29.0,2.548700000000025,Total infected,Screening 50%
99,30.0,2.662300000000016,Total infected,Screening 50%
100,31.0,2.8300999999999874,Total infected,Screening 50%
101,32.0,3.002100000000013,Total infected,Screening 50%
102,33.0,3.1648999999999887,Total infected,Screening 50%
103,34.0,3.3075000000000045,Total infected,Screening 50%
104,35.0,3.449399999999997,Total infected,Screening 50%
105,1.0,0.0,Total infected,Screening 100%
106,2.0,0.010000000000019327,Total infected,Screening 100%
107,3.0,0.024199999999979127,Total infected,Screening 100%
108,4.0,0.034100000000023556,Total infected,Screening 100%
109,5.0,0.08029999999999404,Total infected,Screening 100%
110,6.0,0.12050000000002115,Total infected,Screening 100%
111,7.0,0.14570000000003347,Total infected,Screening 100%
112,8.0,0.16789999999997463,Total infected,Screening 100%
113,9.0,0.20299999999997453,Total infected,Screening 100%
114,10.0,0.2522000000000162,Total infected,Screening 100%
115,11.0,0.302599999999984,Total infected,Screening 100%
116,12.0,0.3537000000000319,Total infected,Screening 100%
117,13.0,0.41600000000002524,Total infected,Screening 100%
118,14.0,0.4621999999999957,Total infected,Screening 100%
119,15.0,0.509600000000006,Total infected,Screening 100%
120,16.0,0.5456999999999823,Total infected,Screening 100%
121,17.0,0.629099999999994,Total infected,Screening 100%
122,18.0,0.688399999999973,Total infected,Screening 100%
123,19.0,0.7978999999999985,Total infected,Screening 100%
124,20.0,0.8490999999999929,Total infected,Screening 100%
125,21.0,0.9276000000000408,Total infected,Screening 100%
126,22.0,0.9608000000000629,Total infected,Screening 100%
127,23.0,1.0383000000000209,Total infected,Screening 100%
128,24.0,1.1325999999999965,Total infected,Screening 100%
129,25.0,1.1947999999999865,Total infected,Screening 100%
130,26.0,1.2572999999999581,Total infected,Screening 100%
131,27.0,1.3476999999999748,Total infected,Screening 100%
132,28.0,1.4300999999999817,Total infected,Screening 100%
133,29.0,1.4793999999999699,Total infected,Screening 100%
134,30.0,1.5384999999999707,Total infected,Screening 100%
135,31.0,1.5948999999999955,Total infected,Screening 100%
136,32.0,1.6674000000000433,Total infected,Screening 100%
137,33.0,1.724599999999981,Total infected,Screening 100%
138,34.0,1.7971000000000004,Total infected,Screening 100%
139,35.0,1.8642999999999859,Total infected,Screening 100%
