,day,values,values_type,type,type_pretty,vaccine_efficacy,prevalence,plot_type
0,0.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
1,1.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
2,2.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
3,3.0,1.0741428571428497,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
4,4.0,1.3866428571428577,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
5,5.0,1.978121428571435,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
6,6.0,2.8435571428571427,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
7,7.0,3.9345928571428517,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
8,8.0,5.2129928571428525,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
9,9.0,6.37273571428571,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
10,10.0,7.211564285714286,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
11,11.0,7.975657142857142,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
12,12.0,8.788128571428564,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
13,13.0,9.611635714285711,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
14,14.0,10.32421428571429,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
15,15.0,10.814914285714288,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
16,16.0,11.157021428571428,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
17,17.0,11.387621428571427,trend,Total infected derivative spline,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
