day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457466	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457466	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
2	123457466	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
3	123457466	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	1
4	123457466	238	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	0
5	123457466	238	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	0
6	123457466	238	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	0
7	123457466	238	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	0
8	123457466	238	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	0
9	123457466	237	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	1
10	123457466	235	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	[]	0	1
11	123457466	233	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	[]	0	1
12	123457466	232	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	[]	0	1
13	123457466	232	1	5	2	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	[]	0	1
14	123457466	232	1	5	2	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	[]	0	1
15	123457466	230	3	4	3	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	[]	0	1
16	123457466	227	4	6	3	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	[]	0	1
17	123457466	225	4	7	4	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	[]	0	1
18	123457466	223	6	6	5	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	[]	0	1
19	123457466	199	1	0	0	24	3	8	5	0	0	0	0	0	0	0	0	48	0	0	2	0	0	0	[1A 1B]	2	2
20	123457466	199	1	0	0	24	1	10	5	0	0	0	0	0	0	0	0	48	0	0	2	0	0	0	[1A 1B]	2	2
21	123457466	199	0	1	0	24	1	8	7	0	0	0	0	0	0	0	0	48	0	0	2	0	0	0	[1A 1B]	2	3
22	123457466	198	1	1	0	24	0	6	10	0	0	0	0	0	0	0	0	48	0	0	2	0	0	0	[1A 1B]	2	3
23	123457466	197	2	1	0	24	0	5	11	0	0	0	0	0	0	0	0	48	0	0	2	0	0	0	[1A 1B]	2	3
24	123457466	180	0	0	0	41	0	8	11	0	0	0	0	0	0	0	0	58	0	0	3	0	0	0	[1A 1B 3B]	3	3
25	123457466	180	0	0	0	41	0	8	11	0	0	0	0	0	0	0	0	58	0	0	3	0	0	0	[1A 1B 3B]	3	3
26	123457466	180	0	0	0	41	0	4	15	0	0	0	0	0	0	0	0	58	0	0	3	0	0	0	[1A 1B 3B]	3	2
27	123457466	180	0	0	0	41	0	4	15	0	0	0	0	0	0	0	0	58	0	0	3	0	0	0	[1A 1B 3B]	3	2
28	123457466	180	0	0	0	41	0	4	15	0	0	0	0	0	0	0	0	58	0	0	3	0	0	0	[1A 1B 3B]	3	2
29	123457466	180	0	0	0	41	0	3	16	0	0	0	0	0	0	0	0	58	0	0	3	0	0	0	[1A 1B 3B]	3	2
30	123457466	180	0	0	0	41	0	3	16	0	0	0	0	0	0	0	0	58	0	0	3	0	0	0	[1A 1B 3B]	3	2
31	123457466	180	0	0	0	41	0	2	17	0	0	0	0	0	0	0	0	67	0	0	3	0	0	0	[1A 1B 3B]	3	2
32	123457466	180	0	0	0	41	0	1	18	0	0	0	0	0	0	0	0	67	0	0	3	0	0	0	[1A 1B 3B]	3	1
33	123457466	204	0	0	16	17	0	1	2	0	0	0	0	0	0	0	0	67	0	0	3	0	0	0	[3B]	1	1
34	123457466	204	0	0	16	17	0	1	2	0	0	0	0	0	0	0	0	67	0	0	3	0	0	0	[3B]	1	1
35	123457466	204	0	0	16	17	0	1	2	0	0	0	0	0	0	0	0	67	0	0	3	0	0	0	[3B]	1	1
