,day,cumulative_infected,type,type_of_npis_pretty
0,1.0,0.0,Total infected,With NPIs
1,2.0,0.07699999999999818,Total infected,With NPIs
2,3.0,0.2061999999999955,Total infected,With NPIs
3,4.0,0.3942999999999586,Total infected,With NPIs
4,5.0,0.6977999999999724,Total infected,With NPIs
5,6.0,1.1061000000000263,Total infected,With NPIs
6,7.0,1.4564000000000021,Total infected,With NPIs
7,8.0,1.81280000000001,Total infected,With NPIs
8,9.0,2.3964,Total infected,With NPIs
9,10.0,3.1651999999999987,Total infected,With NPIs
10,11.0,4.22229999999999,Total infected,With NPIs
11,12.0,5.499500000000012,Total infected,With NPIs
12,13.0,7.02800000000002,Total infected,With NPIs
13,14.0,8.271199999999993,Total infected,With NPIs
14,15.0,9.161099999999976,Total infected,With NPIs
15,16.0,10.568600000000032,Total infected,With NPIs
16,17.0,12.399400000000014,Total infected,With NPIs
17,18.0,14.581600000000037,Total infected,With NPIs
18,19.0,17.125200000000007,Total infected,With NPIs
19,20.0,20.060000000000002,Total infected,With NPIs
20,21.0,22.201299999999947,Total infected,With NPIs
21,22.0,23.828699999999998,Total infected,With NPIs
22,23.0,26.163100000000014,Total infected,With NPIs
23,24.0,29.064999999999998,Total infected,With NPIs
24,25.0,32.23919999999998,Total infected,With NPIs
25,26.0,35.813800000000015,Total infected,With NPIs
26,27.0,39.63659999999999,Total infected,With NPIs
27,28.0,42.43339999999998,Total infected,With NPIs
28,29.0,44.46739999999997,Total infected,With NPIs
29,30.0,47.36829999999998,Total infected,With NPIs
30,31.0,50.800899999999984,Total infected,With NPIs
31,32.0,54.54639999999998,Total infected,With NPIs
32,33.0,58.52359999999999,Total infected,With NPIs
33,34.0,62.71079999999998,Total infected,With NPIs
34,35.0,65.6705,Total infected,With NPIs
35,1.0,0.0,Total infected,Without NPIs
36,2.0,0.0771000000000015,Total infected,Without NPIs
37,3.0,0.3783999999999992,Total infected,Without NPIs
38,4.0,1.1481000000000279,Total infected,Without NPIs
39,5.0,2.6625999999999976,Total infected,Without NPIs
40,6.0,5.013999999999982,Total infected,Without NPIs
41,7.0,6.817900000000009,Total infected,Without NPIs
42,8.0,8.184199999999976,Total infected,Without NPIs
43,9.0,11.773699999999991,Total infected,Without NPIs
44,10.0,17.36439999999999,Total infected,Without NPIs
45,11.0,24.382499999999993,Total infected,Without NPIs
46,12.0,32.382300000000015,Total infected,Without NPIs
47,13.0,41.543499999999995,Total infected,Without NPIs
48,14.0,48.141099999999966,Total infected,Without NPIs
49,15.0,52.8999,Total infected,Without NPIs
50,16.0,61.87809999999999,Total infected,Without NPIs
51,17.0,72.3723,Total infected,Without NPIs
52,18.0,83.1551,Total infected,Without NPIs
53,19.0,94.26719999999997,Total infected,Without NPIs
54,20.0,106.7457,Total infected,Without NPIs
55,21.0,115.57259999999998,Total infected,Without NPIs
56,22.0,121.99510000000001,Total infected,Without NPIs
57,23.0,131.037,Total infected,Without NPIs
58,24.0,140.6876,Total infected,Without NPIs
59,25.0,149.9649,Total infected,Without NPIs
60,26.0,158.8028,Total infected,Without NPIs
61,27.0,167.1631,Total infected,Without NPIs
62,28.0,173.1631,Total infected,Without NPIs
63,29.0,177.57760000000002,Total infected,Without NPIs
64,30.0,183.00900000000001,Total infected,Without NPIs
65,31.0,188.6837,Total infected,Without NPIs
66,32.0,193.7407,Total infected,Without NPIs
67,33.0,198.25119999999998,Total infected,Without NPIs
68,34.0,202.3373,Total infected,Without NPIs
69,35.0,205.2012,Total infected,Without NPIs
