,day,cumulative_infected,type,type_of_screening_pretty
0,1.0,1.0,Total infected,Without screening
1,2.0,1.2081999999999766,Total infected,Without screening
2,3.0,1.6056000000000097,Total infected,Without screening
3,4.0,2.1531999999999982,Total infected,Without screening
4,5.0,2.837900000000019,Total infected,Without screening
5,6.0,3.6705000000000325,Total infected,Without screening
6,7.0,4.267300000000034,Total infected,Without screening
7,8.0,4.728699999999975,Total infected,Without screening
8,9.0,5.478399999999965,Total infected,Without screening
9,10.0,6.411300000000011,Total infected,Without screening
10,11.0,7.470499999999987,Total infected,Without screening
11,12.0,8.605499999999978,Total infected,Without screening
12,13.0,9.7457,Total infected,Without screening
13,14.0,10.637699999999995,Total infected,Without screening
14,15.0,11.210199999999986,Total infected,Without screening
15,16.0,12.066999999999979,Total infected,Without screening
16,17.0,13.025999999999982,Total infected,Without screening
17,18.0,14.046999999999997,Total infected,Without screening
18,19.0,15.147199999999998,Total infected,Without screening
19,20.0,16.35730000000001,Total infected,Without screening
20,21.0,17.194199999999995,Total infected,Without screening
21,22.0,17.844899999999996,Total infected,Without screening
22,23.0,18.646599999999978,Total infected,Without screening
23,24.0,19.53450000000001,Total infected,Without screening
24,25.0,20.61159999999998,Total infected,Without screening
25,26.0,21.73180000000002,Total infected,Without screening
26,27.0,22.860899999999987,Total infected,Without screening
27,28.0,23.67179999999999,Total infected,Without screening
28,29.0,24.23520000000002,Total infected,Without screening
29,30.0,25.020099999999985,Total infected,Without screening
30,31.0,25.976,Total infected,Without screening
31,32.0,26.939900000000023,Total infected,Without screening
32,33.0,27.923900000000003,Total infected,Without screening
33,34.0,29.01599999999999,Total infected,Without screening
34,35.0,29.788700000000006,Total infected,Without screening
35,1.0,1.0001000000000033,Total infected,Screening 25%
36,2.0,1.1920000000000641,Total infected,Screening 25%
37,3.0,1.557799999999986,Total infected,Screening 25%
38,4.0,2.0764000000000067,Total infected,Screening 25%
39,5.0,2.641200000000026,Total infected,Screening 25%
40,6.0,3.4150999999999954,Total infected,Screening 25%
41,7.0,4.00800000000001,Total infected,Screening 25%
42,8.0,4.512499999999989,Total infected,Screening 25%
43,9.0,5.047200000000004,Total infected,Screening 25%
44,10.0,5.775800000000004,Total infected,Screening 25%
45,11.0,6.63719999999995,Total infected,Screening 25%
46,12.0,7.522799999999961,Total infected,Screening 25%
47,13.0,8.592999999999961,Total infected,Screening 25%
48,14.0,9.276299999999992,Total infected,Screening 25%
49,15.0,9.777799999999957,Total infected,Screening 25%
50,16.0,10.42410000000001,Total infected,Screening 25%
51,17.0,11.201999999999998,Total infected,Screening 25%
52,18.0,12.056300000000022,Total infected,Screening 25%
53,19.0,12.949700000000007,Total infected,Screening 25%
54,20.0,13.73660000000001,Total infected,Screening 25%
55,21.0,14.36579999999995,Total infected,Screening 25%
56,22.0,14.805000000000007,Total infected,Screening 25%
57,23.0,15.409800000000018,Total infected,Screening 25%
58,24.0,16.107500000000016,Total infected,Screening 25%
59,25.0,16.81510000000003,Total infected,Screening 25%
60,26.0,17.544900000000013,Total infected,Screening 25%
61,27.0,18.301500000000004,Total infected,Screening 25%
62,28.0,18.8331,Total infected,Screening 25%
63,29.0,19.14869999999999,Total infected,Screening 25%
64,30.0,19.642300000000006,Total infected,Screening 25%
65,31.0,20.211899999999986,Total infected,Screening 25%
66,32.0,20.857400000000013,Total infected,Screening 25%
67,33.0,21.453299999999984,Total infected,Screening 25%
68,34.0,22.065199999999976,Total infected,Screening 25%
69,35.0,22.477299999999985,Total infected,Screening 25%
70,1.0,1.0,Total infected,Screening 50%
71,2.0,1.1477999999999895,Total infected,Screening 50%
72,3.0,1.36790000000002,Total infected,Screening 50%
73,4.0,1.869400000000013,Total infected,Screening 50%
74,5.0,2.4561999999999955,Total infected,Screening 50%
75,6.0,3.0532000000000323,Total infected,Screening 50%
76,7.0,3.5306999999999675,Total infected,Screening 50%
77,8.0,3.8764999999999645,Total infected,Screening 50%
78,9.0,4.2834,Total infected,Screening 50%
79,10.0,4.8522000000000105,Total infected,Screening 50%
80,11.0,5.454200000000043,Total infected,Screening 50%
81,12.0,6.128700000000009,Total infected,Screening 50%
82,13.0,6.862400000000008,Total infected,Screening 50%
83,14.0,7.3627999999999645,Total infected,Screening 50%
84,15.0,7.699600000000004,Total infected,Screening 50%
85,16.0,8.17779999999999,Total infected,Screening 50%
86,17.0,8.714500000000015,Total infected,Screening 50%
87,18.0,9.20399999999998,Total infected,Screening 50%
88,19.0,9.695399999999978,Total infected,Screening 50%
89,20.0,10.219100000000026,Total infected,Screening 50%
90,21.0,10.594000000000023,Total infected,Screening 50%
91,22.0,10.8733,Total infected,Screening 50%
92,23.0,11.240099999999956,Total infected,Screening 50%
93,24.0,11.604900000000015,Total infected,Screening 50%
94,25.0,12.06619999999998,Total infected,Screening 50%
95,26.0,12.509600000000006,Total infected,Screening 50%
96,27.0,12.983899999999977,Total infected,Screening 50%
97,28.0,13.2834,Total infected,Screening 50%
98,29.0,13.472200000000043,Total infected,Screening 50%
99,30.0,13.79600000000002,Total infected,Screening 50%
100,31.0,14.085400000000021,Total infected,Screening 50%
101,32.0,14.422999999999973,Total infected,Screening 50%
102,33.0,14.738500000000045,Total infected,Screening 50%
103,34.0,15.022100000000023,Total infected,Screening 50%
104,35.0,15.228099999999984,Total infected,Screening 50%
105,1.0,1.0000000000000284,Total infected,Screening 100%
106,2.0,1.248299999999972,Total infected,Screening 100%
107,3.0,1.6210000000000093,Total infected,Screening 100%
108,4.0,2.1036,Total infected,Screening 100%
109,5.0,2.665300000000002,Total infected,Screening 100%
110,6.0,3.299399999999963,Total infected,Screening 100%
111,7.0,3.738699999999966,Total infected,Screening 100%
112,8.0,4.018099999999947,Total infected,Screening 100%
113,9.0,4.472399999999965,Total infected,Screening 100%
114,10.0,4.983699999999999,Total infected,Screening 100%
115,11.0,5.497499999999974,Total infected,Screening 100%
116,12.0,6.044300000000021,Total infected,Screening 100%
117,13.0,6.481299999999976,Total infected,Screening 100%
118,14.0,6.903500000000008,Total infected,Screening 100%
119,15.0,7.174800000000005,Total infected,Screening 100%
120,16.0,7.455299999999994,Total infected,Screening 100%
121,17.0,7.734599999999972,Total infected,Screening 100%
122,18.0,8.006900000000002,Total infected,Screening 100%
123,19.0,8.275400000000019,Total infected,Screening 100%
124,20.0,8.52249999999998,Total infected,Screening 100%
125,21.0,8.709600000000023,Total infected,Screening 100%
126,22.0,8.84020000000001,Total infected,Screening 100%
127,23.0,9.031100000000038,Total infected,Screening 100%
128,24.0,9.18700000000004,Total infected,Screening 100%
129,25.0,9.357800000000054,Total infected,Screening 100%
130,26.0,9.501500000000021,Total infected,Screening 100%
131,27.0,9.6353,Total infected,Screening 100%
132,28.0,9.72780000000003,Total infected,Screening 100%
133,29.0,9.821200000000005,Total infected,Screening 100%
134,30.0,9.911499999999961,Total infected,Screening 100%
135,31.0,10.007899999999978,Total infected,Screening 100%
136,32.0,10.094500000000039,Total infected,Screening 100%
137,33.0,10.181899999999985,Total infected,Screening 100%
138,34.0,10.26030000000003,Total infected,Screening 100%
139,35.0,10.310700000000026,Total infected,Screening 100%
