,day,cumulative_infected,type,type_pretty
0,1.0,1.9601178917520005e-16,Total infected,0%
1,2.0,0.011761379310345006,Total infected,0%
2,3.0,0.036714827586206804,Total infected,0%
3,4.0,0.0786679310344829,Total infected,0%
4,5.0,0.14381172413793103,Total infected,0%
5,6.0,0.2255679310344827,Total infected,0%
6,7.0,0.2904362068965517,Total infected,0%
7,8.0,0.3424779310344829,Total infected,0%
8,9.0,0.3915765517241379,Total infected,0%
9,10.0,0.43646620689655163,Total infected,0%
10,11.0,0.4754886206896552,Total infected,0%
11,12.0,0.5078841379310345,Total infected,0%
12,13.0,0.5343993103448276,Total infected,0%
13,14.0,0.5539072413793104,Total infected,0%
14,15.0,0.5696213793103448,Total infected,0%
15,16.0,0.5815075862068966,Total infected,0%
16,17.0,0.5903389655172413,Total infected,0%
17,18.0,0.5972355172413792,Total infected,0%
18,19.0,0.6024462068965518,Total infected,0%
19,20.0,0.6073662068965516,Total infected,0%
20,21.0,0.6118168965517241,Total infected,0%
21,22.0,0.6155834482758621,Total infected,0%
22,23.0,0.6231086206896552,Total infected,0%
23,24.0,0.6335155172413792,Total infected,0%
24,25.0,0.6469696551724138,Total infected,0%
25,26.0,0.6637275862068965,Total infected,0%
26,27.0,0.6830558620689655,Total infected,0%
27,28.0,0.6990668965517242,Total infected,0%
28,29.0,0.7134548275862069,Total infected,0%
29,30.0,0.7288786206896551,Total infected,0%
30,31.0,0.7442544827586207,Total infected,0%
31,32.0,0.75954,Total infected,0%
32,33.0,0.7746941379310345,Total infected,0%
33,34.0,0.7886806896551724,Total infected,0%
34,35.0,0.7997993103448275,Total infected,0%
35,36.0,0.8088934482758621,Total infected,0%
36,37.0,0.8167648275862069,Total infected,0%
37,38.0,0.8237168965517242,Total infected,0%
38,39.0,0.8303358620689656,Total infected,0%
39,40.0,0.8364451724137931,Total infected,0%
40,41.0,0.8419324137931034,Total infected,0%
41,42.0,0.8464375862068966,Total infected,0%
42,43.0,0.8500448275862069,Total infected,0%
43,44.0,0.853908275862069,Total infected,0%
44,45.0,0.8582062068965517,Total infected,0%
45,46.0,0.8627258620689655,Total infected,0%
46,47.0,0.8673420689655172,Total infected,0%
47,48.0,0.872351724137931,Total infected,0%
48,49.0,0.8763941379310345,Total infected,0%
49,50.0,0.8801186206896552,Total infected,0%
50,51.0,0.8842993103448276,Total infected,0%
51,52.0,0.8882520689655172,Total infected,0%
52,53.0,0.8923924137931034,Total infected,0%
53,54.0,0.8966762068965517,Total infected,0%
54,55.0,0.90085,Total infected,0%
55,56.0,0.9042641379310346,Total infected,0%
56,57.0,0.9073179310344829,Total infected,0%
57,58.0,0.9104141379310345,Total infected,0%
58,59.0,0.9134751724137932,Total infected,0%
59,60.0,0.9163155172413793,Total infected,0%
60,1.0,-1.9601178917520005e-16,Total infected,10%
61,2.0,0.010869655172413575,Total infected,10%
62,3.0,0.033308275862068984,Total infected,10%
63,4.0,0.07032689655172406,Total infected,10%
64,5.0,0.12682586206896546,Total infected,10%
65,6.0,0.2003727586206896,Total infected,10%
66,7.0,0.2579779310344828,Total infected,10%
67,8.0,0.30419482758620686,Total infected,10%
68,9.0,0.350715172413793,Total infected,10%
69,10.0,0.3934010344827586,Total infected,10%
70,11.0,0.43180172413793094,Total infected,10%
71,12.0,0.46619482758620684,Total infected,10%
72,13.0,0.49653137931034474,Total infected,10%
73,14.0,0.5177944827586206,Total infected,10%
74,15.0,0.5346344827586207,Total infected,10%
75,16.0,0.5470117241379311,Total infected,10%
76,17.0,0.5567134482758621,Total infected,10%
77,18.0,0.5641555172413792,Total infected,10%
78,19.0,0.5705896551724138,Total infected,10%
79,20.0,0.5757796551724137,Total infected,10%
80,21.0,0.5802851724137931,Total infected,10%
81,22.0,0.5844865517241379,Total infected,10%
82,23.0,0.591148275862069,Total infected,10%
83,24.0,0.601113103448276,Total infected,10%
84,25.0,0.6135855172413793,Total infected,10%
85,26.0,0.6295003448275861,Total infected,10%
86,27.0,0.6487179310344827,Total infected,10%
87,28.0,0.663851724137931,Total infected,10%
88,29.0,0.677271724137931,Total infected,10%
89,30.0,0.6920810344827587,Total infected,10%
90,31.0,0.7075051724137932,Total infected,10%
91,32.0,0.7233027586206896,Total infected,10%
92,33.0,0.7386431034482759,Total infected,10%
93,34.0,0.7539631034482758,Total infected,10%
94,35.0,0.7658696551724137,Total infected,10%
95,36.0,0.7749710344827586,Total infected,10%
96,37.0,0.783421724137931,Total infected,10%
97,38.0,0.791354827586207,Total infected,10%
98,39.0,0.7982510344827586,Total infected,10%
99,40.0,0.8050096551724137,Total infected,10%
100,41.0,0.8110499999999999,Total infected,10%
101,42.0,0.8160179310344827,Total infected,10%
102,43.0,0.8199437931034483,Total infected,10%
103,44.0,0.8242003448275862,Total infected,10%
104,45.0,0.8282631034482758,Total infected,10%
105,46.0,0.8332113793103448,Total infected,10%
106,47.0,0.837481724137931,Total infected,10%
107,48.0,0.842188275862069,Total infected,10%
108,49.0,0.8463137931034482,Total infected,10%
109,50.0,0.8503079310344828,Total infected,10%
110,51.0,0.8549175862068966,Total infected,10%
111,52.0,0.8590565517241379,Total infected,10%
112,53.0,0.8634862068965518,Total infected,10%
113,54.0,0.8679089655172414,Total infected,10%
114,55.0,0.8722627586206897,Total infected,10%
115,56.0,0.8763189655172413,Total infected,10%
116,57.0,0.8795527586206897,Total infected,10%
117,58.0,0.882883103448276,Total infected,10%
118,59.0,0.8864006896551724,Total infected,10%
119,60.0,0.8896137931034482,Total infected,10%
120,1.0,0.0,Total infected,40%
121,2.0,0.008762758620689471,Total infected,40%
122,3.0,0.025637586206896646,Total infected,40%
123,4.0,0.0517931034482758,Total infected,40%
124,5.0,0.08930931034482757,Total infected,40%
125,6.0,0.13797275862068958,Total infected,40%
126,7.0,0.17829448275862078,Total infected,40%
127,8.0,0.21290172413793115,Total infected,40%
128,9.0,0.24929206896551726,Total infected,40%
129,10.0,0.2865662068965517,Total infected,40%
130,11.0,0.32279758620689647,Total infected,40%
131,12.0,0.35746655172413794,Total infected,40%
132,13.0,0.3915286206896551,Total infected,40%
133,14.0,0.41721379310344825,Total infected,40%
134,15.0,0.4365493103448277,Total infected,40%
135,16.0,0.4516413793103448,Total infected,40%
136,17.0,0.46402448275862074,Total infected,40%
137,18.0,0.47389310344827584,Total infected,40%
138,19.0,0.4823165517241378,Total infected,40%
139,20.0,0.4892548275862069,Total infected,40%
140,21.0,0.49503827586206883,Total infected,40%
141,22.0,0.49981344827586205,Total infected,40%
142,23.0,0.5065651724137931,Total infected,40%
143,24.0,0.5148089655172413,Total infected,40%
144,25.0,0.524911724137931,Total infected,40%
145,26.0,0.5360720689655173,Total infected,40%
146,27.0,0.5493327586206896,Total infected,40%
147,28.0,0.56124,Total infected,40%
148,29.0,0.5720682758620691,Total infected,40%
149,30.0,0.5839748275862068,Total infected,40%
150,31.0,0.5968899999999999,Total infected,40%
151,32.0,0.6105513793103448,Total infected,40%
152,33.0,0.6249255172413793,Total infected,40%
153,34.0,0.6399620689655172,Total infected,40%
154,35.0,0.6513848275862069,Total infected,40%
155,36.0,0.660776551724138,Total infected,40%
156,37.0,0.6701810344827587,Total infected,40%
157,38.0,0.6791586206896552,Total infected,40%
158,39.0,0.6878165517241379,Total infected,40%
159,40.0,0.6961306896551724,Total infected,40%
160,41.0,0.7042431034482759,Total infected,40%
161,42.0,0.7105179310344828,Total infected,40%
162,43.0,0.7158255172413792,Total infected,40%
163,44.0,0.7216506896551724,Total infected,40%
164,45.0,0.727068275862069,Total infected,40%
165,46.0,0.7331979310344828,Total infected,40%
166,47.0,0.7387737931034484,Total infected,40%
167,48.0,0.7445931034482758,Total infected,40%
168,49.0,0.7496851724137932,Total infected,40%
169,50.0,0.7542258620689655,Total infected,40%
170,51.0,0.7592631034482759,Total infected,40%
171,52.0,0.7643289655172413,Total infected,40%
172,53.0,0.7693589655172414,Total infected,40%
173,54.0,0.7746462068965517,Total infected,40%
174,55.0,0.7797465517241379,Total infected,40%
175,56.0,0.7845689655172413,Total infected,40%
176,57.0,0.7887851724137931,Total infected,40%
