,day,values,values_type,type,type_pretty
0,0.0,0.07420000000001892,slope,Total infected derivative spline,0%
1,1.0,0.12325000000001296,slope,Total infected derivative spline,0%
2,2.0,0.23644999999999072,slope,Total infected derivative spline,0%
3,3.0,0.3867999999999654,slope,Total infected derivative spline,0%
4,4.0,0.6252000000000066,slope,Total infected derivative spline,0%
5,5.0,0.7074000000000069,slope,Total infected derivative spline,0%
6,6.0,0.5911999999999864,slope,Total infected derivative spline,0%
7,7.0,0.878750000000025,slope,Total infected derivative spline,0%
8,8.0,1.6543499999999938,slope,Total infected derivative spline,0%
9,9.0,2.526999999999987,slope,Total infected derivative spline,0%
10,10.0,3.3477000000000032,slope,Total infected derivative spline,0%
11,11.0,4.234499999999997,slope,Total infected derivative spline,0%
12,12.0,4.06310000000002,slope,Total infected derivative spline,0%
13,13.0,2.9448500000000024,slope,Total infected derivative spline,0%
14,14.0,3.619199999999978,slope,Total infected derivative spline,0%
15,15.0,5.6112500000000125,slope,Total infected derivative spline,0%
16,16.0,7.190400000000011,slope,Total infected derivative spline,0%
17,17.0,8.696449999999999,slope,Total infected derivative spline,0%
18,18.0,10.146299999999997,slope,Total infected derivative spline,0%
19,19.0,9.251450000000006,slope,Total infected derivative spline,0%
20,20.0,6.640299999999996,slope,Total infected derivative spline,0%
21,21.0,7.2485499999999945,slope,Total infected derivative spline,0%
22,22.0,9.852699999999999,slope,Total infected derivative spline,0%
23,23.0,11.501949999999994,slope,Total infected derivative spline,0%
24,24.0,12.469950000000011,slope,Total infected derivative spline,0%
25,25.0,13.048100000000005,slope,Total infected derivative spline,0%
26,26.0,11.357699999999994,slope,Total infected derivative spline,0%
27,27.0,8.013999999999982,slope,Total infected derivative spline,0%
28,28.0,7.9950000000000045,slope,Total infected derivative spline,0%
29,29.0,9.647350000000017,slope,Total infected derivative spline,0%
30,30.0,9.749499999999998,slope,Total infected derivative spline,0%
31,31.0,9.544099999999986,slope,Total infected derivative spline,0%
32,32.0,9.206400000000002,slope,Total infected derivative spline,0%
33,33.0,7.74345000000001,slope,Total infected derivative spline,0%
34,34.0,5.530050000000003,slope,Total infected derivative spline,0%
35,35.0,4.8045999999999935,slope,Total infected derivative spline,0%
36,36.0,5.180399999999992,slope,Total infected derivative spline,0%
37,37.0,5.007050000000007,slope,Total infected derivative spline,0%
38,38.0,4.719400000000007,slope,Total infected derivative spline,0%
39,39.0,4.267499999999998,slope,Total infected derivative spline,0%
40,40.0,3.4619500000000016,slope,Total infected derivative spline,0%
41,41.0,2.5411,slope,Total infected derivative spline,0%
42,42.0,2.14224999999999,slope,Total infected derivative spline,0%
43,43.0,2.1833500000000043,slope,Total infected derivative spline,0%
44,44.0,2.0250500000000073,slope,Total infected derivative spline,0%
45,45.0,1.772599999999997,slope,Total infected derivative spline,0%
46,46.0,1.6353000000000009,slope,Total infected derivative spline,0%
47,47.0,1.3145999999999987,slope,Total infected derivative spline,0%
48,48.0,0.9177999999999997,slope,Total infected derivative spline,0%
49,49.0,0.803600000000003,slope,Total infected derivative spline,0%
50,50.0,0.7976000000000028,slope,Total infected derivative spline,0%
51,51.0,0.751499999999993,slope,Total infected derivative spline,0%
52,52.0,0.6302999999999912,slope,Total infected derivative spline,0%
53,53.0,0.4890000000000043,slope,Total infected derivative spline,0%
54,54.0,0.3747500000000059,slope,Total infected derivative spline,0%
55,55.0,0.27649999999999864,slope,Total infected derivative spline,0%
56,56.0,0.23444999999999538,slope,Total infected derivative spline,0%
57,57.0,0.20640000000000214,slope,Total infected derivative spline,0%
58,58.0,0.18240000000000123,slope,Total infected derivative spline,0%
59,59.0,0.17449999999999477,slope,Total infected derivative spline,0%
60,60.0,,slope,Total infected derivative spline,0%
61,0.0,,trend,Total infected derivative spline,0%
62,1.0,,trend,Total infected derivative spline,0%
63,2.0,,trend,Total infected derivative spline,0%
64,3.0,0.39207142857142685,trend,Total infected derivative spline,0%
65,4.0,0.507007142857142,trend,Total infected derivative spline,0%
66,5.0,0.7257357142857106,trend,Total infected derivative spline,0%
67,6.0,1.0529571428571387,trend,Total infected derivative spline,0%
68,7.0,1.4759428571428583,trend,Total infected derivative spline,0%
69,8.0,1.9915571428571424,trend,Total infected derivative spline,0%
70,9.0,2.470942857142859,trend,Total infected derivative spline,0%
71,10.0,2.807178571428575,trend,Total infected derivative spline,0%
72,11.0,3.1986714285714255,trend,Total infected derivative spline,0%
73,12.0,3.763942857142857,trend,Total infected derivative spline,0%
74,13.0,4.43014285714286,trend,Total infected derivative spline,0%
75,14.0,5.194250000000002,trend,Total infected derivative spline,0%
76,15.0,6.03879285714286,trend,Total infected derivative spline,0%
77,16.0,6.779985714285714,trend,Total infected derivative spline,0%
78,17.0,7.307907142857142,trend,Total infected derivative spline,0%
79,18.0,7.826385714285716,trend,Total infected derivative spline,0%
80,19.0,8.432307142857143,trend,Total infected derivative spline,0%
81,20.0,9.048242857142855,trend,Total infected derivative spline,0%
82,21.0,9.587314285714285,trend,Total infected derivative spline,0%
83,22.0,10.001857142857144,trend,Total infected derivative spline,0%
84,23.0,10.30275,trend,Total infected derivative spline,0%
85,24.0,10.498992857142852,trend,Total infected derivative spline,0%
86,25.0,10.605628571428568,trend,Total infected derivative spline,0%
87,26.0,10.576292857142857,trend,Total infected derivative spline,0%
88,27.0,10.325942857142858,trend,Total infected derivative spline,0%
89,28.0,9.907964285714282,trend,Total infected derivative spline,0%
90,29.0,9.359149999999998,trend,Total infected derivative spline,0%
91,30.0,8.842828571428571,trend,Total infected derivative spline,0%
92,31.0,8.487978571428574,trend,Total infected derivative spline,0%
93,32.0,8.032207142857144,trend,Total infected derivative spline,0%
94,33.0,7.394071428571426,trend,Total infected derivative spline,0%
95,34.0,6.7165785714285695,trend,Total infected derivative spline,0%
96,35.0,6.027335714285715,trend,Total infected derivative spline,0%
97,36.0,5.321778571428572,trend,Total infected derivative spline,0%
98,37.0,4.710135714285714,trend,Total infected derivative spline,0%
99,38.0,4.283142857142857,trend,Total infected derivative spline,0%
100,39.0,3.9028071428571423,trend,Total infected derivative spline,0%
101,40.0,3.474657142857144,trend,Total infected derivative spline,0%
102,41.0,3.0486571428571443,trend,Total infected derivative spline,0%
103,42.0,2.627685714285714,trend,Total infected derivative spline,0%
104,43.0,2.251657142857143,trend,Total infected derivative spline,0%
105,44.0,1.9448928571428565,trend,Total infected derivative spline,0%
106,45.0,1.7129928571428565,trend,Total infected derivative spline,0%
107,46.0,1.5217571428571444,trend,Total infected derivative spline,0%
108,47.0,1.3237928571428585,trend,Total infected derivative spline,0%
109,48.0,1.141857142857142,trend,Total infected derivative spline,0%
110,49.0,0.978671428571427,trend,Total infected derivative spline,0%
111,50.0,0.8149142857142846,trend,Total infected derivative spline,0%
112,51.0,0.68065,trend,Total infected derivative spline,0%
113,52.0,0.589035714285714,trend,Total infected derivative spline,0%
114,53.0,0.5077285714285701,trend,Total infected derivative spline,0%
115,54.0,0.42327142857142724,trend,Total infected derivative spline,0%
116,55.0,0.3419714285714284,trend,Total infected derivative spline,0%
117,56.0,0.2768571428571432,trend,Total infected derivative spline,0%
118,57.0,,trend,Total infected derivative spline,0%
119,58.0,,trend,Total infected derivative spline,0%
120,59.0,,trend,Total infected derivative spline,0%
121,60.0,0.7840869795041457,trend,Total infected derivative spline,0%
122,0.0,0.978201522835296,seasonal,Total infected derivative spline,0%
123,1.0,1.0969240816927561,seasonal,Total infected derivative spline,0%
124,2.0,1.1358444366593883,seasonal,Total infected derivative spline,0%
125,3.0,1.1962991233257192,seasonal,Total infected derivative spline,0%
126,4.0,1.0411844884773178,seasonal,Total infected derivative spline,0%
127,5.0,0.767459367505376,seasonal,Total infected derivative spline,0%
128,6.0,0.7840869795041457,seasonal,Total infected derivative spline,0%
129,7.0,0.978201522835296,seasonal,Total infected derivative spline,0%
130,8.0,1.0969240816927561,seasonal,Total infected derivative spline,0%
131,9.0,1.1358444366593883,seasonal,Total infected derivative spline,0%
132,10.0,1.1962991233257192,seasonal,Total infected derivative spline,0%
133,11.0,1.0411844884773178,seasonal,Total infected derivative spline,0%
134,12.0,0.767459367505376,seasonal,Total infected derivative spline,0%
135,13.0,0.7840869795041457,seasonal,Total infected derivative spline,0%
136,14.0,0.978201522835296,seasonal,Total infected derivative spline,0%
137,15.0,1.0969240816927561,seasonal,Total infected derivative spline,0%
