,day,new-infected,type,type_of_screening_pretty
0,1.0,1.0,New infected,Without screening
1,2.0,0.22419999999999618,New infected,Without screening
2,3.0,0.40339999999997644,New infected,Without screening
3,4.0,0.5285000000000082,New infected,Without screening
4,5.0,0.802899999999994,New infected,Without screening
5,6.0,0.898900000000026,New infected,Without screening
6,7.0,0.6745999999999981,New infected,Without screening
7,8.0,0.4825000000000159,New infected,Without screening
8,9.0,0.875899999999973,New infected,Without screening
9,10.0,1.1532000000000266,New infected,Without screening
10,11.0,1.2461999999999875,New infected,Without screening
11,12.0,1.5004999999999882,New infected,Without screening
12,13.0,1.6817000000000064,New infected,Without screening
13,14.0,1.1311000000000035,New infected,Without screening
14,15.0,0.805800000000005,New infected,Without screening
15,16.0,1.2892999999999688,New infected,Without screening
16,17.0,1.5395000000000323,New infected,Without screening
17,18.0,1.7257000000000176,New infected,Without screening
18,19.0,1.8838999999999828,New infected,Without screening
19,20.0,2.1802000000000135,New infected,Without screening
20,21.0,1.501499999999993,New infected,Without screening
21,22.0,1.0579999999999927,New infected,Without screening
22,23.0,1.6186999999999898,New infected,Without screening
23,24.0,1.9439000000000135,New infected,Without screening
24,25.0,2.2232999999999947,New infected,Without screening
25,26.0,2.525499999999994,New infected,Without screening
26,27.0,2.5955999999999904,New infected,Without screening
27,28.0,1.9228999999999985,New infected,Without screening
28,29.0,1.4014000000000237,New infected,Without screening
29,30.0,2.1030999999999835,New infected,Without screening
30,31.0,2.4795000000000016,New infected,Without screening
31,32.0,2.703800000000001,New infected,Without screening
32,33.0,2.9429000000000087,New infected,Without screening
33,34.0,3.3153000000000077,New infected,Without screening
34,35.0,2.2732999999999777,New infected,Without screening
35,1.0,1.0,New infected,Screening 25%
36,2.0,0.23969999999997071,New infected,Screening 25%
37,3.0,0.3911000000000229,New infected,Screening 25%
38,4.0,0.5358000000000231,New infected,Screening 25%
39,5.0,0.7572999999999581,New infected,Screening 25%
40,6.0,0.8197000000000116,New infected,Screening 25%
41,7.0,0.6191000000000031,New infected,Screening 25%
42,8.0,0.4408000000000243,New infected,Screening 25%
43,9.0,0.6993999999999403,New infected,Screening 25%
44,10.0,0.9723000000000468,New infected,Screening 25%
45,11.0,1.0886000000000138,New infected,Screening 25%
46,12.0,1.1492999999999824,New infected,Screening 25%
47,13.0,1.2712999999999965,New infected,Screening 25%
48,14.0,0.9200999999999908,New infected,Screening 25%
49,15.0,0.6692999999999927,New infected,Screening 25%
50,16.0,0.9894000000000176,New infected,Screening 25%
51,17.0,1.126100000000008,New infected,Screening 25%
52,18.0,1.188600000000008,New infected,Screening 25%
53,19.0,1.3055999999999983,New infected,Screening 25%
54,20.0,1.4004999999999939,New infected,Screening 25%
55,21.0,0.9832000000000107,New infected,Screening 25%
56,22.0,0.7028999999999996,New infected,Screening 25%
57,23.0,0.978100000000012,New infected,Screening 25%
58,24.0,1.1754999999999711,New infected,Screening 25%
59,25.0,1.296699999999987,New infected,Screening 25%
60,26.0,1.390100000000018,New infected,Screening 25%
