,day,cumulative_infected,type,type_pretty
0,1.0,0.0,Total infected,0%
1,2.0,0.0005049999999999481,Total infected,0%
2,3.0,0.0015995833333333801,Total infected,0%
3,4.0,0.0031566666666666523,Total infected,0%
4,5.0,0.0058083333333332375,Total infected,0%
5,6.0,0.010690416666666636,Total infected,0%
6,7.0,0.014730833333333493,Total infected,0%
7,8.0,0.0174662499999999,Total infected,0%
8,9.0,0.021253750000000102,Total infected,0%
9,10.0,0.02853499999999999,Total infected,0%
10,11.0,0.03762624999999993,Total infected,0%
11,12.0,0.049915833333333146,Total infected,0%
12,13.0,0.06595125000000006,Total infected,0%
13,14.0,0.07668375,Total infected,0%
14,15.0,0.08674249999999996,Total infected,0%
15,16.0,0.0969695833333334,Total infected,0%
16,17.0,0.10892250000000002,Total infected,0%
17,18.0,0.1243266666666667,Total infected,0%
18,19.0,0.14334999999999998,Total infected,0%
19,20.0,0.16460458333333344,Total infected,0%
20,21.0,0.18106083333333356,Total infected,0%
21,22.0,0.1922141666666667,Total infected,0%
22,23.0,0.20526083333333342,Total infected,0%
23,24.0,0.22015958333333335,Total infected,0%
24,25.0,0.23569041666666676,Total infected,0%
25,26.0,0.25370375,Total infected,0%
26,27.0,0.27462166666666665,Total infected,0%
27,28.0,0.2892258333333333,Total infected,0%
28,29.0,0.30025249999999987,Total infected,0%
29,30.0,0.31203708333333335,Total infected,0%
30,31.0,0.3254208333333332,Total infected,0%
31,32.0,0.34006791666666664,Total infected,0%
32,33.0,0.3566499999999999,Total infected,0%
33,34.0,0.3767679166666666,Total infected,0%
34,35.0,0.39019333333333345,Total infected,0%
35,36.0,0.40046333333333334,Total infected,0%
36,37.0,0.4118266666666667,Total infected,0%
37,38.0,0.42277,Total infected,0%
38,39.0,0.4361533333333334,Total infected,0%
39,40.0,0.4506733333333333,Total infected,0%
40,41.0,0.4661616666666667,Total infected,0%
41,42.0,0.4767258333333334,Total infected,0%
42,43.0,0.48425958333333335,Total infected,0%
43,44.0,0.49212958333333334,Total infected,0%
44,45.0,0.50117875,Total infected,0%
45,46.0,0.5103958333333334,Total infected,0%
46,47.0,0.5204966666666667,Total infected,0%
47,48.0,0.5316500000000001,Total infected,0%
48,49.0,0.5389733333333334,Total infected,0%
49,50.0,0.5447395833333334,Total infected,0%
50,51.0,0.5505895833333334,Total infected,0%
51,52.0,0.5566920833333333,Total infected,0%
52,53.0,0.5630891666666666,Total infected,0%
53,54.0,0.5705808333333333,Total infected,0%
54,55.0,0.5784929166666667,Total infected,0%
55,56.0,0.5834174999999999,Total infected,0%
56,57.0,0.5871633333333333,Total infected,0%
57,58.0,0.5908254166666667,Total infected,0%
58,59.0,0.5948233333333334,Total infected,0%
59,60.0,0.59987375,Total infected,0%
60,1.0,0.0,Total infected,10%
61,2.0,0.0004208333333333559,Total infected,10%
62,3.0,0.0013092592592591685,Total infected,10%
63,4.0,0.002337962962962942,Total infected,10%
64,5.0,0.004115277777777809,Total infected,10%
65,6.0,0.008324074074074083,Total infected,10%
66,7.0,0.010334722222222266,Total infected,10%
67,8.0,0.012719907407407418,Total infected,10%
68,9.0,0.016975462962963057,Total infected,10%
