,day,slope,type,type_pretty,vaccine_efficacy,prevalence
0,0.0,0.07819999999998117,Total infected derivative,0%,Vaccine Efficacy 100%,Low
1,1.0,0.18035000000000423,Total infected derivative,0%,Vaccine Efficacy 100%,Low
2,2.0,0.4900000000000091,Total infected derivative,0%,Vaccine Efficacy 100%,Low
3,3.0,1.0010000000000048,Total infected derivative,0%,Vaccine Efficacy 100%,Low
4,4.0,1.6893500000000188,Total infected derivative,0%,Vaccine Efficacy 100%,Low
5,5.0,1.802599999999984,Total infected derivative,0%,Vaccine Efficacy 100%,Low
6,6.0,1.3406999999999698,Total infected derivative,0%,Vaccine Efficacy 100%,Low
7,7.0,2.114200000000011,Total infected derivative,0%,Vaccine Efficacy 100%,Low
8,8.0,3.9128000000000043,Total infected derivative,0%,Vaccine Efficacy 100%,Low
9,9.0,5.371799999999979,Total infected derivative,0%,Vaccine Efficacy 100%,Low
10,10.0,6.716450000000009,Total infected derivative,0%,Vaccine Efficacy 100%,Low
11,11.0,8.24845000000002,Total infected derivative,0%,Vaccine Efficacy 100%,Low
12,12.0,7.807549999999992,Total infected derivative,0%,Vaccine Efficacy 100%,Low
13,13.0,5.565150000000003,Total infected derivative,0%,Vaccine Efficacy 100%,Low
14,14.0,6.542150000000007,Total infected derivative,0%,Vaccine Efficacy 100%,Low
15,15.0,9.675349999999995,Total infected derivative,0%,Vaccine Efficacy 100%,Low
16,16.0,11.451900000000009,Total infected derivative,0%,Vaccine Efficacy 100%,Low
17,17.0,12.483999999999995,Total infected derivative,0%,Vaccine Efficacy 100%,Low
18,18.0,13.110199999999992,Total infected derivative,0%,Vaccine Efficacy 100%,Low
19,19.0,11.4619,Total infected derivative,0%,Vaccine Efficacy 100%,Low
20,20.0,8.284549999999996,Total infected derivative,0%,Vaccine Efficacy 100%,Low
21,21.0,8.407800000000009,Total infected derivative,0%,Vaccine Efficacy 100%,Low
22,22.0,10.457950000000011,Total infected derivative,0%,Vaccine Efficacy 100%,Low
23,23.0,10.781549999999996,Total infected derivative,0%,Vaccine Efficacy 100%,Low
24,24.0,10.267499999999984,Total infected derivative,0%,Vaccine Efficacy 100%,Low
25,25.0,9.685400000000001,Total infected derivative,0%,Vaccine Efficacy 100%,Low
26,26.0,8.07220000000001,Total infected derivative,0%,Vaccine Efficacy 100%,Low
27,27.0,5.8847999999999985,Total infected derivative,0%,Vaccine Efficacy 100%,Low
28,28.0,5.610150000000004,Total infected derivative,0%,Vaccine Efficacy 100%,Low
29,29.0,6.107199999999992,Total infected derivative,0%,Vaccine Efficacy 100%,Low
30,30.0,5.71244999999999,Total infected derivative,0%,Vaccine Efficacy 100%,Low
31,31.0,5.258500000000012,Total infected derivative,0%,Vaccine Efficacy 100%,Low
32,32.0,4.792600000000007,Total infected derivative,0%,Vaccine Efficacy 100%,Low
33,33.0,3.9038499999999914,Total infected derivative,0%,Vaccine Efficacy 100%,Low
34,34.0,2.812599999999989,Total infected derivative,0%,Vaccine Efficacy 100%,Low
35,35.0,2.540050000000008,Total infected derivative,0%,Vaccine Efficacy 100%,Low
36,36.0,2.5581000000000103,Total infected derivative,0%,Vaccine Efficacy 100%,Low
37,37.0,2.26755,Total infected derivative,0%,Vaccine Efficacy 100%,Low
38,38.0,2.102249999999998,Total infected derivative,0%,Vaccine Efficacy 100%,Low
39,39.0,1.925849999999997,Total infected derivative,0%,Vaccine Efficacy 100%,Low
40,40.0,1.5180000000000007,Total infected derivative,0%,Vaccine Efficacy 100%,Low
41,41.0,1.0790999999999968,Total infected derivative,0%,Vaccine Efficacy 100%,Low
42,42.0,1.0230999999999995,Total infected derivative,0%,Vaccine Efficacy 100%,Low
43,43.0,1.0361500000000063,Total infected derivative,0%,Vaccine Efficacy 100%,Low
44,44.0,0.8797500000000014,Total infected derivative,0%,Vaccine Efficacy 100%,Low
45,45.0,0.7885500000000008,Total infected derivative,0%,Vaccine Efficacy 100%,Low
46,46.0,0.7133999999999929,Total infected derivative,0%,Vaccine Efficacy 100%,Low
47,47.0,0.5861499999999893,Total infected derivative,0%,Vaccine Efficacy 100%,Low
48,48.0,0.41185000000000116,Total infected derivative,0%,Vaccine Efficacy 100%,Low
49,49.0,0.3447000000000031,Total infected derivative,0%,Vaccine Efficacy 100%,Low
50,50.0,0.3295999999999992,Total infected derivative,0%,Vaccine Efficacy 100%,Low
51,51.0,0.29760000000000275,Total infected derivative,0%,Vaccine Efficacy 100%,Low
52,52.0,0.29565000000000907,Total infected derivative,0%,Vaccine Efficacy 100%,Low
53,53.0,0.2494999999999976,Total infected derivative,0%,Vaccine Efficacy 100%,Low
54,54.0,0.1813499999999948,Total infected derivative,0%,Vaccine Efficacy 100%,Low
55,55.0,0.13230000000000075,Total infected derivative,0%,Vaccine Efficacy 100%,Low
