,day,values,values_type,type,type_pretty,vaccine_efficacy,prevalence
59,0.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
60,1.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
61,2.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
62,3.0,0.36987142857142885,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
63,4.0,0.4687999999999996,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
64,5.0,0.6285571428571433,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
65,6.0,0.8378285714285676,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
66,7.0,1.0908999999999967,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
67,8.0,1.3925071428571454,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
68,9.0,1.6733642857142852,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
69,10.0,1.8647428571428575,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
70,11.0,2.0370714285714286,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
71,12.0,2.2374714285714266,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
72,13.0,2.4580571428571427,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
73,14.0,2.6925285714285714,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
74,15.0,2.913828571428573,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
75,16.0,3.093607142857146,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
76,17.0,3.2281714285714282,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
77,18.0,3.3557214285714254,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
78,19.0,3.4931357142857133,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
79,20.0,3.616799999999999,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
80,21.0,3.7185642857142853,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
81,22.0,3.8011571428571416,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
82,23.0,3.863007142857142,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
83,24.0,3.8990714285714274,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
84,25.0,3.911657142857141,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
85,26.0,3.9116642857142887,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
86,27.0,3.883342857142864,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
87,28.0,3.81620714285715,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
88,29.0,3.724300000000005,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
89,30.0,3.6385642857142866,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
90,31.0,3.582164285714286,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
91,32.0,3.523192857142865,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
92,33.0,3.442885714285718,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
93,34.0,3.3485428571428497,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
94,35.0,3.2447714285714193,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
95,36.0,3.1491642857142796,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
96,37.0,3.066992857142858,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
97,38.0,3.0052928571428583,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
98,39.0,2.936721428571421,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
99,40.0,2.853557142857137,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
100,41.0,2.78671428571429,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
101,42.0,2.7261714285714334,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
102,43.0,2.634992857142856,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
103,44.0,2.5380785714285645,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
104,45.0,2.4700857142857098,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
105,46.0,2.4045357142857164,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
106,47.0,2.319657142857143,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
107,48.0,2.2198785714285703,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
108,49.0,2.1180928571428552,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
109,50.0,2.0200428571428564,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
110,51.0,1.9434571428571454,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
111,52.0,1.8953571428571423,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
112,53.0,1.8591499999999996,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
113,54.0,1.808892857142859,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
114,55.0,1.7314428571428557,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
115,56.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
116,57.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
117,58.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
295,0.0,,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
296,1.0,,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
297,2.0,,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
298,3.0,0.34010714285714366,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
299,4.0,0.41813571428571494,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
300,5.0,0.5607071428571462,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
301,6.0,0.7463571428571437,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
302,7.0,0.9504857142857109,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
303,8.0,1.1913928571428503,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
304,9.0,1.4209999999999923,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
305,10.0,1.5803285714285664,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
306,11.0,1.731042857142857,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
307,12.0,1.8943500000000069,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
308,13.0,2.0689857142857226,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
309,14.0,2.257935714285724,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
310,15.0,2.4201214285714383,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
311,16.0,2.545235714285724,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
312,17.0,2.6492857142857202,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
313,18.0,2.7444785714285667,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
314,19.0,2.8401214285714156,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
315,20.0,2.919857142857132,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
316,21.0,2.9789785714285637,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
317,22.0,3.0365142857142855,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
318,23.0,3.078571428571426,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
319,24.0,3.089749999999995,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
320,25.0,3.0890500000000043,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
321,26.0,3.0863142857142907,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
322,27.0,3.0744214285714304,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
323,28.0,3.058092857142857,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
324,29.0,3.028471428571428,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
325,30.0,2.9988500000000005,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
326,31.0,2.986950000000001,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
327,32.0,2.963471428571429,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
328,33.0,2.909664285714287,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
329,34.0,2.845114285714284,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
330,35.0,2.78557142857143,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
331,36.0,2.7178642857142887,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
332,37.0,2.6524571428571466,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
333,38.0,2.6066428571428606,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
334,39.0,2.563685714285713,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
335,40.0,2.5246071428571413,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
336,41.0,2.4765214285714308,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
337,42.0,2.4043928571428563,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
338,43.0,2.3339571428571406,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
339,44.0,2.2708214285714234,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
340,45.0,2.224749999999996,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
341,46.0,2.1898142857142835,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
342,47.0,2.135564285714281,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
343,48.0,2.080614285714284,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
344,49.0,2.024185714285715,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
345,50.0,1.9537499999999992,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
346,51.0,1.8943571428571437,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
347,52.0,1.8564285714285762,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
348,53.0,1.8153714285714324,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
349,54.0,1.7579714285714312,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
350,55.0,1.6910785714285703,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
351,56.0,,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
352,57.0,,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
353,58.0,,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
531,0.0,,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
532,1.0,,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
533,2.0,,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
534,3.0,0.15961428571428168,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
535,4.0,0.19225000000000136,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
536,5.0,0.24147857142857074,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
537,6.0,0.30847142857142473,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
538,7.0,0.3927999999999981,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
539,8.0,0.4789714285714248,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
540,9.0,0.5493857142857093,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
541,10.0,0.5993357142857088,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
542,11.0,0.6540214285714196,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
543,12.0,0.7191642857142793,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
544,13.0,0.7771357142857117,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
545,14.0,0.830221428571426,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
546,15.0,0.8927714285714338,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
547,16.0,0.9547714285714375,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
548,17.0,1.0011500000000035,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
549,18.0,1.0426642857142912,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
550,19.0,1.0886142857142918,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
551,20.0,1.1455714285714294,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
552,21.0,1.2048428571428604,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
553,22.0,1.2558071428571467,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
554,23.0,1.2902857142857156,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
555,24.0,1.3056071428571474,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
556,25.0,1.3149142857142926,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
557,26.0,1.336371428571433,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
558,27.0,1.3575571428571445,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
559,28.0,1.3664214285714258,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
560,29.0,1.3771571428571374,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
561,30.0,1.3916499999999985,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
562,31.0,1.4042499999999984,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
563,32.0,1.4123928571428541,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
564,33.0,1.4042428571428571,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
565,34.0,1.380200000000004,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
566,35.0,1.3618857142857173,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
567,36.0,1.34241428571429,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
568,37.0,1.3194928571428597,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
569,38.0,1.3136285714285703,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
570,39.0,1.313921428571427,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
571,40.0,1.3118999999999963,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
572,41.0,1.3141928571428545,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
573,42.0,1.317064285714285,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
574,43.0,1.3020285714285689,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
575,44.0,1.2822714285714236,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
576,45.0,1.2663714285714258,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
577,46.0,1.2409000000000003,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
578,47.0,1.2122857142857166,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
579,48.0,1.1789285714285709,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
580,49.0,1.132964285714284,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
581,50.0,1.1003285714285747,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
582,51.0,1.077300000000002,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
583,52.0,1.0549714285714284,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
584,53.0,1.0467999999999984,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
585,54.0,1.0327785714285653,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
586,55.0,1.017028571428568,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
587,56.0,,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
588,57.0,,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
589,58.0,,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
