,day,values,values_type,type,type_pretty,vaccine_efficacy,prevalence
59,0.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
60,1.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
61,2.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
62,3.0,0.9298499999999956,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
63,4.0,1.2103999999999968,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
64,5.0,1.6945142857142788,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
65,6.0,2.289135714285708,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
66,7.0,2.936857142857137,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
67,8.0,3.626242857142853,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
68,9.0,4.217007142857142,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
69,10.0,4.627549999999999,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
70,11.0,5.0432500000000005,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
71,12.0,5.543957142857144,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
72,13.0,6.0153285714285785,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
73,14.0,6.4046785714285805,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
74,15.0,6.716564285714288,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
75,16.0,6.955328571428572,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
76,17.0,7.109500000000002,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
77,18.0,7.165321428571433,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
78,19.0,7.1557285714285745,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
79,20.0,7.092021428571423,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
80,21.0,6.960199999999993,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
81,22.0,6.742649999999999,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
82,23.0,6.515900000000002,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
83,24.0,6.375042857142856,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
84,25.0,6.213157142857138,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
85,26.0,5.915557142857141,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
86,27.0,5.543671428571429,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
87,28.0,5.143864285714287,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
88,29.0,4.727592857142856,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
89,30.0,4.371321428571426,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
90,31.0,4.113664285714287,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
91,32.0,3.8824642857142893,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
92,33.0,3.611928571428574,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
93,34.0,3.336821428571428,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
94,35.0,3.0990642857142854,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
95,36.0,2.8806285714285735,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
96,37.0,2.6998285714285744,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
97,38.0,2.5694142857142857,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
98,39.0,2.4286928571428548,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
99,40.0,2.2774,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
100,41.0,2.12982142857143,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
101,42.0,1.9767857142857148,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
102,43.0,1.8385142857142842,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
103,44.0,1.7297357142857135,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
104,45.0,1.6561785714285728,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
105,46.0,1.5819142857142865,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
106,47.0,1.4827,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
107,48.0,1.393214285714285,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
108,49.0,1.3176428571428551,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
109,50.0,1.2452071428571423,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
110,51.0,1.1803714285714273,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
111,52.0,1.125392857142854,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
112,53.0,1.0699857142857132,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
113,54.0,1.0035857142857136,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
114,55.0,0.9371714285714277,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
115,56.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
116,57.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
117,58.0,,trend,Total infected derivative spline,0%,Vaccine Efficacy 100%,Low
295,0.0,,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
296,1.0,,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
297,2.0,,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
298,3.0,0.7879999999999865,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
299,4.0,1.0087285714285608,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
300,5.0,1.4072571428571337,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
301,6.0,1.904542857142847,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
302,7.0,2.4574857142857076,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
303,8.0,3.05296428571428,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
304,9.0,3.5790285714285672,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
305,10.0,3.9696642857142916,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
306,11.0,4.356292857142871,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
307,12.0,4.8018785714285865,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
308,13.0,5.236164285714297,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
309,14.0,5.594900000000007,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
310,15.0,5.844550000000004,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
311,16.0,6.011450000000004,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
312,17.0,6.123242857142861,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
313,18.0,6.192657142857139,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
314,19.0,6.198678571428564,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
315,20.0,6.1103785714285666,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
316,21.0,5.968521428571426,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
317,22.0,5.793307142857146,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
318,23.0,5.612378571428573,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
319,24.0,5.483828571428573,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
320,25.0,5.322642857142859,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
321,26.0,5.085864285714287,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
322,27.0,4.843228571428569,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
323,28.0,4.575278571428569,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
324,29.0,4.285971428571427,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
325,30.0,4.050357142857139,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
326,31.0,3.8734499999999983,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
327,32.0,3.6785071428571445,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
328,33.0,3.431464285714288,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
329,34.0,3.1750785714285756,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
330,35.0,2.9347428571428593,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
331,36.0,2.711742857142856,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
332,37.0,2.526364285714288,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
333,38.0,2.3895285714285723,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
334,39.0,2.2646857142857124,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
335,40.0,2.120371428571427,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
336,41.0,1.975807142857141,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
337,42.0,1.855414285714285,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
338,43.0,1.7420357142857137,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
339,44.0,1.643271428571426,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
340,45.0,1.5794142857142828,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
341,46.0,1.5144357142857126,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
342,47.0,1.433014285714283,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
343,48.0,1.3448428571428528,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
344,49.0,1.2590928571428563,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
345,50.0,1.1745000000000028,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
346,51.0,1.0999142857142872,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
347,52.0,1.0531000000000006,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
348,53.0,1.0146142857142857,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
349,54.0,0.9763928571428592,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
350,55.0,0.9314214285714318,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
351,56.0,,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
352,57.0,,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
353,58.0,,trend,Total infected derivative spline,10%,Vaccine Efficacy 100%,Low
531,0.0,,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
532,1.0,,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
533,2.0,,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
534,3.0,0.3173571428571416,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
535,4.0,0.40609285714286003,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
536,5.0,0.5574071428571422,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
537,6.0,0.7443642857142792,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
538,7.0,0.9439000000000013,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
539,8.0,1.1463142857142907,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
540,9.0,1.3129214285714241,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
541,10.0,1.4284214285714256,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
542,11.0,1.568578571428568,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
543,12.0,1.739471428571432,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
544,13.0,1.90909285714287,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
545,14.0,2.080307142857147,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
546,15.0,2.2411928571428548,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
547,16.0,2.368892857142859,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
548,17.0,2.449635714285717,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
549,18.0,2.4977142857142867,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
550,19.0,2.5419499999999933,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
551,20.0,2.5901857142857017,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
552,21.0,2.606921428571421,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
553,22.0,2.5991857142857135,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
554,23.0,2.59632142857143,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
555,24.0,2.5994857142857137,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
556,25.0,2.605064285714288,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
557,26.0,2.6129428571428646,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
558,27.0,2.601935714285724,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
559,28.0,2.585185714285718,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
560,29.0,2.561564285714283,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
561,30.0,2.52762142857143,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
562,31.0,2.5141428571428577,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
563,32.0,2.476078571428567,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
564,33.0,2.381335714285711,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
565,34.0,2.2699571428571392,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
566,35.0,2.1561357142857105,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
567,36.0,2.0480785714285696,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
568,37.0,1.9693714285714228,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
569,38.0,1.90838571428571,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
570,39.0,1.8552857142857175,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
571,40.0,1.8087642857142874,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
572,41.0,1.7608071428571443,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
573,42.0,1.7133000000000036,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
574,43.0,1.6667571428571464,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
575,44.0,1.6216500000000065,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
576,45.0,1.5874571428571511,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
577,46.0,1.5529571428571445,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
578,47.0,1.4935499999999988,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
579,48.0,1.413964285714284,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
580,49.0,1.3411071428571444,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
581,50.0,1.272992857142861,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
582,51.0,1.2151714285714275,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
583,52.0,1.1660642857142827,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
584,53.0,1.109799999999997,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
585,54.0,1.0571071428571384,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
586,55.0,1.0193285714285714,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
587,56.0,,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
588,57.0,,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
589,58.0,,trend,Total infected derivative spline,40%,Vaccine Efficacy 100%,Low
767,0.0,,trend,Total infected derivative spline,70%,Vaccine Efficacy 100%,Low
