,day,infected,type,type_pretty
0,0.0,0.0,Infected,0%
1,1.0,0.0,Infected,0%
2,2.0,0.0842,Infected,0%
3,3.0,0.2585,Infected,0%
4,4.0,0.523,Infected,0%
5,5.0,0.9719,Infected,0%
6,6.0,1.7015,Infected,0%
7,7.0,2.0601,Infected,0%
8,8.0,2.3807,Infected,0%
9,9.0,3.3568000000000002,Infected,0%
10,10.0,4.8938999999999995,Infected,0%
11,11.0,6.9239,Infected,0%
12,12.0,9.526999999999997,Infected,0%
13,13.0,12.501100000000001,Infected,0%
14,14.0,13.893799999999999,Infected,0%
15,15.0,14.258499999999998,Infected,0%
16,16.0,16.665300000000002,Infected,0%
17,17.0,19.9399,Infected,0%
18,18.0,24.003999999999998,Infected,0%
19,19.0,28.7516,Infected,0%
20,20.0,33.9619,Infected,0%
21,21.0,36.422799999999995,Infected,0%
22,22.0,36.3707,Infected,0%
23,23.0,39.3347,Infected,0%
24,24.0,43.2967,Infected,0%
25,25.0,48.07,Infected,0%
26,26.0,53.018100000000004,Infected,0%
27,27.0,58.11409999999999,Infected,0%
28,28.0,58.513,Infected,0%
29,29.0,57.1002,Infected,0%
30,30.0,58.2725,Infected,0%
31,31.0,60.1443,Infected,0%
32,32.0,62.246500000000005,Infected,0%
33,33.0,64.3607,Infected,0%
34,34.0,65.8016,Infected,0%
35,35.0,64.1864,Infected,0%
36,36.0,60.7094,Infected,0%
37,37.0,59.0201,Infected,0%
38,38.0,57.8758,Infected,0%
39,39.0,56.6353,Infected,0%
40,40.0,55.38270000000001,Infected,0%
41,41.0,53.6654,Infected,0%
42,42.0,50.6773,Infected,0%
43,43.0,46.907799999999995,Infected,0%
44,44.0,44.01399999999999,Infected,0%
45,45.0,41.637299999999996,Infected,0%
46,46.0,38.913799999999995,Infected,0%
47,47.0,36.581199999999995,Infected,0%
48,48.0,34.1865,Infected,0%
49,49.0,31.3187,Infected,0%
50,50.0,28.466900000000003,Infected,0%
51,51.0,26.106199999999998,Infected,0%
52,52.0,23.913900000000005,Infected,0%
53,53.0,21.8357,Infected,0%
54,54.0,20.022,Infected,0%
55,55.0,18.2645,Infected,0%
56,56.0,16.270599999999998,Infected,0%
57,57.0,14.5752,Infected,0%
58,58.0,13.0061,Infected,0%
59,59.0,11.603200000000001,Infected,0%
60,60.0,10.3407,Infected,0%
61,0.0,0.0,Infected,10%
62,1.0,0.0,Infected,10%
63,2.0,0.0661,Infected,10%
64,3.0,0.1884,Infected,10%
65,4.0,0.3968,Infected,10%
66,5.0,0.7535000000000001,Infected,10%
67,6.0,1.2344000000000002,Infected,10%
68,7.0,1.5972000000000002,Infected,10%
69,8.0,1.8677000000000001,Infected,10%
70,9.0,2.6612999999999998,Infected,10%
71,10.0,3.8516999999999997,Infected,10%
72,11.0,5.4268,Infected,10%
73,12.0,7.3748,Infected,10%
74,13.0,9.7736,Infected,10%
75,14.0,10.8858,Infected,10%
76,15.0,11.2124,Infected,10%
77,16.0,12.929900000000002,Infected,10%
78,17.0,15.2003,Infected,10%
79,18.0,18.412799999999997,Infected,10%
80,19.0,21.703400000000002,Infected,10%
81,20.0,25.6773,Infected,10%
82,21.0,27.1884,Infected,10%
83,22.0,27.372700000000002,Infected,10%
84,23.0,29.625200000000003,Infected,10%
85,24.0,32.8997,Infected,10%
86,25.0,36.67340000000001,Infected,10%
87,26.0,40.7776,Infected,10%
88,27.0,45.3006,Infected,10%
89,28.0,46.4328,Infected,10%
90,29.0,45.160199999999996,Infected,10%
91,30.0,46.75749999999999,Infected,10%
92,31.0,49.126200000000004,Infected,10%
93,32.0,51.903800000000004,Infected,10%
94,33.0,54.9439,Infected,10%
95,34.0,57.3767,Infected,10%
96,35.0,56.601200000000006,Infected,10%
97,36.0,54.03200000000001,Infected,10%
98,37.0,53.6072,Infected,10%
99,38.0,53.998,Infected,10%
100,39.0,53.959900000000005,Infected,10%
101,40.0,54.10410000000001,Infected,10%
102,41.0,53.98000000000001,Infected,10%
103,42.0,51.70929999999999,Infected,10%
104,43.0,48.2986,Infected,10%
105,44.0,46.032000000000004,Infected,10%
106,45.0,44.11220000000001,Infected,10%
107,46.0,42.59120000000001,Infected,10%
108,47.0,40.9939,Infected,10%
109,48.0,39.4709,Infected,10%
110,49.0,36.6954,Infected,10%
111,50.0,33.7495,Infected,10%
112,51.0,31.489099999999997,Infected,10%
113,52.0,29.416800000000002,Infected,10%
114,53.0,27.494999999999997,Infected,10%
115,54.0,25.615199999999998,Infected,10%
116,55.0,23.7976,Infected,10%
117,56.0,21.867700000000003,Infected,10%
118,57.0,19.7113,Infected,10%
119,58.0,17.8397,Infected,10%
120,59.0,16.244500000000002,Infected,10%
121,60.0,14.731499999999999,Infected,10%
122,0.0,0.0,Infected,40%
123,1.0,0.0,Infected,40%
124,2.0,0.0581,Infected,40%
125,3.0,0.1282,Infected,40%
126,4.0,0.2524,Infected,40%
127,5.0,0.4449,Infected,40%
128,6.0,0.6813,Infected,40%
129,7.0,0.8677,Infected,40%
130,8.0,1.026,Infected,40%
131,9.0,1.3606,Infected,40%
132,10.0,1.8256000000000001,Infected,40%
133,11.0,2.4949999999999997,Infected,40%
134,12.0,3.3026,Infected,40%
135,13.0,4.144299999999999,Infected,40%
136,14.0,4.633299999999999,Infected,40%
137,15.0,4.741499999999999,Infected,40%
138,16.0,5.3927,Infected,40%
139,17.0,6.3706999999999985,Infected,40%
140,18.0,7.4148,Infected,40%
141,19.0,8.5811,Infected,40%
