day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456794	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	50	0	0	0	0	[]	0	0
1	123456794	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	50	50	0	0	0	1	[]	0	0
2	123456794	231	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	5	0	0	0	0	50	50	0	0	0	9	[]	0	0
3	123456794	219	19	1	0	0	0	0	0	0	0	1	0	0	0	0	0	79	7	0	0	1	0	50	50	0	0	0	13	[]	0	2
4	123456794	177	56	6	0	0	0	0	0	0	0	1	0	0	0	0	0	79	12	0	0	1	0	50	50	0	0	0	21	[]	0	4
5	123456794	129	75	14	1	9	6	4	0	0	0	1	0	0	0	1	0	98	17	1	4	1	1	50	50	0	0	0	23	[2A]	1	6
6	123456794	121	61	30	2	9	4	7	2	0	0	1	0	0	0	3	0	136	19	3	7	1	3	50	50	0	0	0	31	[2A]	1	10
7	123456794	120	42	46	6	9	3	8	2	0	0	1	0	0	0	2	1	136	20	3	7	1	3	50	50	0	0	0	32	[2A]	1	12
8	123456794	90	14	1	1	29	29	55	15	0	0	2	0	0	0	3	1	343	22	4	54	2	4	50	50	0	0	0	35	[2A 3A 2C 1B 1D 3B]	6	12
9	123456794	67	20	2	1	29	17	60	22	0	0	2	0	6	5	8	1	343	25	5	54	2	5	50	50	0	0	0	38	[2A 3A 2C 1B 1D 3B 2D]	7	12
10	123456794	60	23	3	2	29	12	61	27	0	0	2	0	6	2	11	2	360	26	6	55	2	6	50	50	0	0	0	39	[2A 3A 2C 1B 1D 3B 2D]	7	12
11	123456794	42	22	7	1	29	10	55	35	0	0	2	0	16	4	13	4	379	26	7	55	2	7	50	50	0	0	0	39	[2A 3A 2C 1B 1D 3B 2D 3C]	8	12
12	123456794	32	18	2	1	29	17	58	43	0	0	2	0	16	4	11	7	397	27	8	64	2	8	50	50	0	0	0	40	[2A 3A 2C 1B 1D 3B 2D 3C 3D]	9	12
13	123456794	31	2	3	0	30	20	63	51	0	0	2	0	16	2	13	7	431	27	8	66	2	8	50	50	0	0	0	40	[2A 3A 2C 1B 1D 3B 2D 3C 3D 1A]	10	12
14	123456794	30	2	4	0	30	16	53	65	0	0	2	0	16	1	13	8	431	27	8	66	2	8	50	50	0	0	0	41	[2A 3A 2C 1B 1D 3B 2D 3C 3D 1A]	10	12
15	123456794	25	16	1	13	21	12	47	66	0	0	2	0	16	1	12	8	463	27	8	67	2	8	50	50	0	0	0	45	[3A 2C 1B 1D 3B 2D 3C 3D 1A]	9	11
16	123456794	21	4	0	14	24	17	49	72	0	0	1	1	16	1	10	10	479	28	9	71	2	9	50	50	0	0	0	46	[3A 2C 1B 1D 3B 2D 3C 3D 1A 2B]	10	10
17	123456794	14	10	1	14	24	11	49	78	0	0	1	1	16	0	11	10	479	28	9	71	2	9	50	50	0	0	0	47	[3A 2C 1B 1D 3B 2D 3C 3D 1A 2B]	10	11
18	123456794	24	15	6	94	4	5	34	22	0	0	0	0	16	0	8	12	479	28	9	71	2	9	50	50	0	0	0	48	[2D 3C 3D 1A 2B]	5	7
19	123456794	28	15	7	109	4	0	35	23	0	0	0	0	10	0	5	4	479	28	9	71	2	9	50	50	0	0	0	48	[3C 3D 1A 2B]	4	6
20	123456794	28	6	1	105	4	5	37	35	0	0	0	0	10	0	4	5	498	31	9	77	2	9	50	50	0	0	0	48	[3C 3D 1A 2B 1C]	5	6
21	123456794	37	4	4	115	4	3	36	35	0	0	0	0	0	0	1	1	498	34	9	77	2	9	50	50	0	0	0	49	[3D 1A 2B 1C]	4	5
22	123456794	36	4	0	136	4	2	28	28	0	0	0	0	0	0	1	1	581	35	10	80	2	10	50	50	0	0	0	50	[1A 2B 1C]	3	5
23	123456794	37	4	0	155	3	1	16	22	0	0	0	0	0	0	1	1	581	35	10	80	2	10	50	50	0	0	0	50	[2B 1C]	2	4
