,day,cumulative_infected,type,type_of_screening_pretty
0,1.0,1.0,Total infected,Without screening
1,2.0,1.2241999999999962,Total infected,Without screening
2,3.0,1.6295999999999822,Total infected,Without screening
3,4.0,2.1561000000000092,Total infected,Without screening
4,5.0,2.9579999999999984,Total infected,Without screening
5,6.0,3.8559000000000196,Total infected,Without screening
6,7.0,4.530500000000018,Total infected,Without screening
7,8.0,5.0120000000000005,Total infected,Without screening
8,9.0,5.888900000000007,Total infected,Without screening
9,10.0,7.042100000000005,Total infected,Without screening
10,11.0,8.286200000000008,Total infected,Without screening
11,12.0,9.7868,Total infected,Without screening
12,13.0,11.469499999999982,Total infected,Without screening
13,14.0,12.600599999999986,Total infected,Without screening
14,15.0,13.405400000000014,Total infected,Without screening
15,16.0,14.694699999999983,Total infected,Without screening
16,17.0,16.2372,Total infected,Without screening
17,18.0,17.96289999999999,Total infected,Without screening
18,19.0,19.84880000000001,Total infected,Without screening
19,20.0,22.028999999999996,Total infected,Without screening
20,21.0,23.535500000000013,Total infected,Without screening
21,22.0,24.594599999999986,Total infected,Without screening
22,23.0,26.21520000000001,Total infected,Without screening
23,24.0,28.160200000000003,Total infected,Without screening
24,25.0,30.38730000000001,Total infected,Without screening
25,26.0,32.9169,Total infected,Without screening
26,27.0,35.517499999999984,Total infected,Without screening
27,28.0,37.4434,Total infected,Without screening
28,29.0,38.846900000000005,Total infected,Without screening
29,30.0,40.9529,Total infected,Without screening
30,31.0,43.433400000000006,Total infected,Without screening
31,32.0,46.137100000000004,Total infected,Without screening
32,33.0,49.08009999999999,Total infected,Without screening
33,34.0,52.397399999999976,Total infected,Without screening
34,35.0,54.67259999999999,Total infected,Without screening
35,1.0,0.9998999999999967,Total infected,Screening 25%
36,2.0,1.1812000000000182,Total infected,Screening 25%
37,3.0,1.4664000000000215,Total infected,Screening 25%
38,4.0,1.863900000000001,Total infected,Screening 25%
39,5.0,2.41040000000001,Total infected,Screening 25%
40,6.0,3.0459999999999923,Total infected,Screening 25%
41,7.0,3.5686000000000035,Total infected,Screening 25%
42,8.0,3.908999999999992,Total infected,Screening 25%
43,9.0,4.2993000000000166,Total infected,Screening 25%
44,10.0,4.696699999999993,Total infected,Screening 25%
45,11.0,5.1621000000000095,Total infected,Screening 25%
46,12.0,5.6836999999999875,Total infected,Screening 25%
47,13.0,6.202199999999976,Total infected,Screening 25%
48,14.0,6.6036,Total infected,Screening 25%
49,15.0,6.914799999999985,Total infected,Screening 25%
50,16.0,7.184200000000004,Total infected,Screening 25%
51,17.0,7.497500000000002,Total infected,Screening 25%
52,18.0,7.8367000000000075,Total infected,Screening 25%
53,19.0,8.181100000000015,Total infected,Screening 25%
54,20.0,8.552500000000009,Total infected,Screening 25%
55,21.0,8.844699999999989,Total infected,Screening 25%
56,22.0,9.067099999999982,Total infected,Screening 25%
57,23.0,9.255199999999974,Total infected,Screening 25%
58,24.0,9.47739999999996,Total infected,Screening 25%
59,25.0,9.715800000000002,Total infected,Screening 25%
60,26.0,9.998999999999967,Total infected,Screening 25%
61,27.0,10.278299999999973,Total infected,Screening 25%
62,28.0,10.476499999999959,Total infected,Screening 25%
63,29.0,10.62269999999998,Total infected,Screening 25%
64,30.0,10.787800000000004,Total infected,Screening 25%
65,31.0,10.953000000000003,Total infected,Screening 25%
66,32.0,11.116099999999989,Total infected,Screening 25%
67,33.0,11.302300000000002,Total infected,Screening 25%
68,34.0,11.505599999999987,Total infected,Screening 25%
69,35.0,11.648699999999991,Total infected,Screening 25%
70,1.0,1.0,Total infected,Screening 50%
71,2.0,1.1152000000000157,Total infected,Screening 50%
72,3.0,1.325400000000002,Total infected,Screening 50%
73,4.0,1.5986000000000047,Total infected,Screening 50%
74,5.0,1.9780000000000086,Total infected,Screening 50%
75,6.0,2.447499999999991,Total infected,Screening 50%
76,7.0,2.788800000000009,Total infected,Screening 50%
77,8.0,3.0370000000000346,Total infected,Screening 50%
78,9.0,3.22829999999999,Total infected,Screening 50%
79,10.0,3.4243000000000166,Total infected,Screening 50%
80,11.0,3.621600000000001,Total infected,Screening 50%
81,12.0,3.8259000000000185,Total infected,Screening 50%
82,13.0,4.027000000000044,Total infected,Screening 50%
83,14.0,4.199200000000019,Total infected,Screening 50%
84,15.0,4.322300000000013,Total infected,Screening 50%
85,16.0,4.429400000000015,Total infected,Screening 50%
86,17.0,4.5245000000000175,Total infected,Screening 50%
87,18.0,4.596499999999992,Total infected,Screening 50%
88,19.0,4.684700000000021,Total infected,Screening 50%
89,20.0,4.769800000000004,Total infected,Screening 50%
90,21.0,4.842800000000011,Total infected,Screening 50%
91,22.0,4.9088999999999885,Total infected,Screening 50%
92,23.0,4.952899999999971,Total infected,Screening 50%
93,24.0,4.9879999999999995,Total infected,Screening 50%
94,25.0,5.024100000000004,Total infected,Screening 50%
95,26.0,5.073199999999986,Total infected,Screening 50%
96,27.0,5.111199999999997,Total infected,Screening 50%
97,28.0,5.150199999999984,Total infected,Screening 50%
98,29.0,5.165200000000027,Total infected,Screening 50%
99,30.0,5.18119999999999,Total infected,Screening 50%
100,31.0,5.197199999999981,Total infected,Screening 50%
101,32.0,5.215299999999985,Total infected,Screening 50%
102,33.0,5.236199999999997,Total infected,Screening 50%
103,34.0,5.261300000000006,Total infected,Screening 50%
104,35.0,5.272299999999973,Total infected,Screening 50%
105,1.0,1.0,Total infected,Screening 100%
106,2.0,1.0,Total infected,Screening 100%
107,3.0,1.0,Total infected,Screening 100%
108,4.0,1.0,Total infected,Screening 100%
109,5.0,1.0,Total infected,Screening 100%
110,6.0,1.0,Total infected,Screening 100%
111,7.0,1.0,Total infected,Screening 100%
112,8.0,1.0,Total infected,Screening 100%
113,9.0,1.0,Total infected,Screening 100%
114,10.0,1.0,Total infected,Screening 100%
115,11.0,1.0,Total infected,Screening 100%
116,12.0,1.0,Total infected,Screening 100%
117,13.0,1.0,Total infected,Screening 100%
118,14.0,1.0,Total infected,Screening 100%
119,15.0,1.0,Total infected,Screening 100%
120,16.0,1.0,Total infected,Screening 100%
121,17.0,1.0,Total infected,Screening 100%
122,18.0,1.0,Total infected,Screening 100%
123,19.0,1.0,Total infected,Screening 100%
124,20.0,1.0,Total infected,Screening 100%
125,21.0,1.0,Total infected,Screening 100%
126,22.0,1.0,Total infected,Screening 100%
127,23.0,1.0,Total infected,Screening 100%
128,24.0,1.0,Total infected,Screening 100%
