,day,cumulative_infected,type,type_pretty
0,1.0,0.0,Total infected,0%
1,2.0,0.005602916666666621,Total infected,0%
2,3.0,0.01792750000000005,Total infected,0%
3,4.0,0.04023875000000009,Total infected,0%
4,5.0,0.07639458333333332,Total infected,0%
5,6.0,0.12885749999999993,Total infected,0%
6,7.0,0.17171000000000008,Total infected,0%
7,8.0,0.20578666666666667,Total infected,0%
8,9.0,0.27203583333333337,Total infected,0%
9,10.0,0.3586425,Total infected,0%
10,11.0,0.4539829166666666,Total infected,0%
11,12.0,0.54899,Total infected,0%
12,13.0,0.63912,Total infected,0%
13,14.0,0.70278875,Total infected,0%
14,15.0,0.75060125,Total infected,0%
15,16.0,0.7995408333333334,Total infected,0%
16,17.0,0.8449399999999999,Total infected,0%
17,18.0,0.8814375000000001,Total infected,0%
18,19.0,0.9115983333333334,Total infected,0%
19,20.0,0.9338675,Total infected,0%
20,21.0,0.9502841666666666,Total infected,0%
21,22.0,0.9625,Total infected,0%
22,23.0,0.97199375,Total infected,0%
23,24.0,0.9790995833333334,Total infected,0%
24,25.0,0.9843104166666666,Total infected,0%
25,26.0,0.9885604166666667,Total infected,0%
26,27.0,0.9916250000000001,Total infected,0%
27,28.0,0.9938208333333333,Total infected,0%
28,29.0,0.99529875,Total infected,0%
29,30.0,0.9963345833333332,Total infected,0%
30,31.0,0.99726125,Total infected,0%
31,32.0,0.9978874999999999,Total infected,0%
32,33.0,0.99843,Total infected,0%
33,34.0,0.9987808333333333,Total infected,0%
34,35.0,0.9990562500000001,Total infected,0%
35,36.0,0.9992816666666666,Total infected,0%
36,37.0,0.9994320833333333,Total infected,0%
37,38.0,0.9994904166666667,Total infected,0%
38,39.0,0.9995658333333334,Total infected,0%
39,40.0,0.9996991666666666,Total infected,0%
40,41.0,0.9997491666666666,Total infected,0%
41,42.0,0.9997829166666666,Total infected,0%
42,43.0,0.9998166666666666,Total infected,0%
43,44.0,0.9998416666666666,Total infected,0%
44,45.0,0.9998583333333334,Total infected,0%
45,46.0,0.999875,Total infected,0%
46,47.0,0.999875,Total infected,0%
47,48.0,0.9998833333333333,Total infected,0%
48,49.0,0.9998833333333333,Total infected,0%
49,50.0,0.9998916666666666,Total infected,0%
50,51.0,0.9998916666666666,Total infected,0%
51,52.0,0.9998916666666666,Total infected,0%
52,53.0,0.9999,Total infected,0%
53,54.0,0.9999166666666667,Total infected,0%
54,55.0,0.9999166666666667,Total infected,0%
55,56.0,0.9999166666666667,Total infected,0%
56,57.0,0.9999166666666667,Total infected,0%
57,58.0,0.9999166666666667,Total infected,0%
58,59.0,0.9999166666666667,Total infected,0%
59,60.0,0.9999166666666667,Total infected,0%
60,1.0,0.0,Total infected,10%
61,2.0,0.005436574074074019,Total infected,10%
62,3.0,0.01693194444444454,Total infected,10%
63,4.0,0.03682361111111113,Total infected,10%
64,5.0,0.06962083333333327,Total infected,10%
65,6.0,0.11698379629629624,Total infected,10%
66,7.0,0.1549120370370371,Total infected,10%
67,8.0,0.18706851851851855,Total infected,10%
68,9.0,0.2466694444444444,Total infected,10%
69,10.0,0.3240833333333334,Total infected,10%
70,11.0,0.41104398148148147,Total infected,10%
